,조사일,브랜드,생필품,식품,축산물
0,2019-2,CU,6563.333333333333,3483.6090225563908,
1,2019-2,GS25,850.0,3730.8888888888887,9300.0
2,2019-2,GS수퍼마켓,8871.500694927032,3376.7566123826837,8834.298724954462
3,2019-2,농협,8698.249801113763,3845.7767925006333,6390.0
4,2019-2,롯데마트,9319.185174361972,3991.1231306371837,7169.95567867036
5,2019-2,롯데백화점,9551.826771653543,4688.9148244473345,8939.310344827587
6,2019-2,롯데슈퍼,8988.969301845642,4354.540853403523,7393.174402181854
7,2019-2,신세계백화점,9306.435643564357,4508.367052023122,12076.190476190477
8,2019-2,이마트,9093.993334782293,4626.9386988222095,8487.669871794871
9,2019-2,현대백화점,8703.096976016684,4358.723186119873,9093.695652173914
10,2019-2,홈플러스,,1852.5566037735848,6077.689655172414
