"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 07일","223.61","226.89","227.69","220.02","23.61M","-4.36%"
"2022년 03월 04일","233.80","237.31","241.86","230.00","29.17M","-4.65%"
"2022년 03월 03일","245.21","249.52","250.86","244.00","9.96M","-1.36%"
"2022년 03월 02일","248.60","249.00","249.36","243.96","12.12M","-1.26%"
"2022년 03월 01일","251.78","255.00","256.61","249.25","17.65M","0.87%"
"2022년 02월 28일","249.60","246.90","250.19","246.00","11.83M","0.71%"
"2022년 02월 25일","247.84","249.90","252.38","247.83","14.60M","1.22%"
"2022년 02월 24일","244.86","248.11","251.78","241.58","23.82M","-2.83%"
"2022년 02월 23일","252.00","241.90","252.52","239.01","29.11M","6.13%"
"2022년 02월 22일","237.45","239.00","239.00","234.30","12.55M","-1.84%"
"2022년 02월 21일","241.89","241.00","245.80","239.64","10.95M","-0.44%"
"2022년 02월 18일","242.96","241.00","245.39","240.00","9.91M","-1.00%"
"2022년 02월 17일","245.41","242.24","248.74","239.00","19.11M","2.00%"
"2022년 02월 16일","240.60","242.00","244.99","240.39","12.87M","0.96%"
"2022년 02월 15일","238.31","232.18","239.96","232.18","15.85M","2.73%"
"2022년 02월 14일","231.98","230.20","235.00","225.00","13.32M","0.78%"
"2022년 02월 11일","230.19","236.05","240.12","228.50","19.94M","-4.14%"
"2022년 02월 10일","240.12","246.77","248.00","238.10","14.63M","-2.06%"
"2022년 02월 09일","245.18","239.05","246.40","235.03","19.99M","3.46%"
"2022년 02월 08일","236.97","243.00","243.00","230.64","19.90M","-3.04%"
"2022년 02월 07일","244.40","240.79","249.28","238.01","25.11M","7.76%"
"2022년 01월 28일","226.80","239.98","242.00","219.76","32.44M","-6.00%"
"2022년 01월 27일","241.27","247.00","249.30","241.00","13.26M","-3.29%"
"2022년 01월 26일","249.49","245.00","251.38","242.31","17.44M","3.82%"
"2022년 01월 25일","240.31","248.00","251.00","240.00","17.28M","-4.41%"
"2022년 01월 24일","251.40","246.08","252.88","244.27","10.84M","0.40%"
"2022년 01월 21일","250.40","251.08","255.74","246.33","11.24M","-0.27%"
"2022년 01월 20일","251.07","252.10","253.71","247.00","15.00M","-0.75%"
"2022년 01월 19일","252.97","265.95","267.88","250.31","23.19M","-4.93%"
"2022년 01월 18일","266.08","266.41","268.96","262.30","12.51M","-0.15%"
"2022년 01월 17일","266.49","253.02","267.49","253.02","24.11M","5.27%"
"2022년 01월 14일","253.14","250.80","257.30","250.00","14.95M","-0.85%"
"2022년 01월 13일","255.31","257.74","258.56","248.61","21.71M","-0.27%"
"2022년 01월 12일","256.00","246.00","256.00","244.31","32.36M","7.07%"
"2022년 01월 11일","239.09","246.28","246.28","237.80","21.24M","-2.93%"
"2022년 01월 10일","246.30","245.00","249.47","239.03","16.21M","-0.08%"
"2022년 01월 07일","246.50","251.80","252.96","245.00","16.19M","-1.41%"
"2022년 01월 06일","250.02","250.00","254.53","247.89","17.59M","-1.28%"
"2022년 01월 05일","253.26","264.55","266.48","251.72","30.17M","-6.55%"
"2022년 01월 04일","271.00","276.00","279.45","265.22","24.47M","1.07%"
"2021년 12월 31일","268.12","273.00","274.19","267.00","11.63M","0.37%"
