"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 07일","74.79","77.99","78.00","74.50","36.68M","-4.30%"
"2022년 03월 04일","78.15","77.77","79.76","77.37","39.63M","-1.71%"
"2022년 03월 03일","79.51","84.50","84.60","79.30","62.06M","-5.60%"
"2022년 03월 02일","84.23","86.79","86.90","83.84","37.08M","-3.07%"
"2022년 03월 01일","86.90","91.00","91.95","86.28","43.31M","-2.91%"
"2022년 02월 28일","89.50","89.56","91.17","88.23","39.62M","0.17%"
"2022년 02월 25일","89.35","88.00","90.88","87.70","46.70M","3.91%"
"2022년 02월 24일","85.99","87.78","89.08","84.84","38.82M","-3.47%"
"2022년 02월 23일","89.08","85.79","89.87","85.70","46.36M","4.00%"
"2022년 02월 22일","85.65","84.98","86.50","82.68","35.99M","-0.23%"
"2022년 02월 21일","85.85","85.14","87.40","84.58","26.56M","0.68%"
"2022년 02월 18일","85.27","87.02","87.50","84.38","36.17M","-4.01%"
"2022년 02월 17일","88.83","87.18","92.24","84.68","54.87M","3.15%"
"2022년 02월 16일","86.12","88.39","88.60","85.41","23.16M","-1.76%"
"2022년 02월 15일","87.66","85.00","88.49","83.60","33.01M","4.98%"
"2022년 02월 14일","83.50","83.20","85.69","82.11","28.72M","-1.04%"
"2022년 02월 11일","84.38","84.70","88.15","83.11","32.57M","-1.74%"
"2022년 02월 10일","85.87","92.47","92.64","84.48","37.16M","-5.93%"
"2022년 02월 09일","91.28","90.46","92.04","86.86","27.32M","2.10%"
"2022년 02월 08일","89.40","95.01","95.35","87.00","34.04M","-5.20%"
"2022년 02월 07일","94.30","96.50","99.36","93.66","21.18M","1.10%"
"2022년 01월 28일","93.27","96.00","97.50","93.00","20.75M","-2.13%"
"2022년 01월 27일","95.30","98.88","99.73","95.29","18.47M","-3.76%"
"2022년 01월 26일","99.02","98.50","100.20","97.79","22.44M","1.28%"
"2022년 01월 25일","97.77","99.00","101.80","97.77","18.28M","-2.22%"
"2022년 01월 24일","99.99","96.08","100.97","95.77","27.25M","2.76%"
"2022년 01월 21일","97.30","97.68","99.26","95.27","23.42M","1.67%"
"2022년 01월 20일","95.70","98.98","99.55","95.02","33.85M","-3.31%"
"2022년 01월 19일","98.98","107.50","107.50","97.66","53.30M","-7.81%"
"2022년 01월 18일","107.37","108.85","109.36","106.09","25.54M","-2.11%"
"2022년 01월 17일","109.68","111.40","113.86","107.98","30.07M","-2.25%"
"2022년 01월 14일","112.20","107.59","112.54","105.99","27.53M","4.33%"
"2022년 01월 13일","107.54","108.50","109.78","103.57","28.42M","-1.34%"
"2022년 01월 12일","109.00","109.15","110.30","105.50","43.03M","2.86%"
"2022년 01월 11일","105.97","103.85","106.16","103.50","32.77M","2.19%"
"2022년 01월 10일","103.70","105.05","106.30","102.50","26.42M","-1.60%"
"2022년 01월 07일","105.39","106.40","108.22","103.01","25.90M","-0.20%"
"2022년 01월 06일","105.60","106.00","107.77","103.50","25.61M","-1.77%"
"2022년 01월 05일","107.50","111.50","111.54","105.85","36.87M","-3.62%"
"2022년 01월 04일","111.54","124.00","124.00","110.55","37.65M","-5.62%"
"2021년 12월 31일","118.18","119.00","120.23","115.30","21.07M","-0.13%"
"2021년 12월 30일","118.33","122.00","122.00","117.77","19.28M","-1.71%"
"2021년 12월 29일","120.39","122.01","122.09","118.93","15.61M","-0.82%"
"2021년 12월 28일","121.39","118.51","121.96","118.51","18.99M","2.44%"
"2021년 12월 27일","118.50","116.99","123.36","116.50","25.95M","2.34%"
"2021년 12월 24일","115.79","123.00","123.53","113.70","32.55M","-5.83%"
