"날짜","종가","오픈","고가","저가","변동 %"
"2022년 03월 07일","6.3231","6.3177","6.3256","6.3177","0.09%"
"2022년 03월 06일","6.3177","6.3177","6.3177","6.3177","-0.02%"
"2022년 03월 04일","6.3188","6.3201","6.3235","6.3139","-0.01%"
"2022년 03월 03일","6.3195","6.3191","6.3225","6.3143","-0.02%"
"2022년 03월 02일","6.3210","6.3135","6.3225","6.3089","0.15%"
"2022년 03월 01일","6.3116","6.3071","6.3161","6.3068","0.05%"
"2022년 02월 28일","6.3084","6.3194","6.3200","6.3046","-0.13%"
"2022년 02월 25일","6.3169","6.3231","6.3248","6.3116","-0.18%"
"2022년 02월 24일","6.3283","6.3216","6.3322","6.3105","0.24%"
"2022년 02월 23일","6.3134","6.3266","6.3316","6.3119","-0.20%"
"2022년 02월 22일","6.3260","6.3379","6.3465","6.3222","-0.13%"
"2022년 02월 21일","6.3345","6.3275","6.3383","6.3219","0.15%"
"2022년 02월 18일","6.3251","6.3361","6.3376","6.3240","-0.21%"
"2022년 02월 17일","6.3381","6.3323","6.3411","6.3292","0.08%"
"2022년 02월 16일","6.3332","6.3386","6.3434","6.3324","-0.08%"
"2022년 02월 15일","6.3385","6.3542","6.3569","6.3378","-0.29%"
"2022년 02월 14일","6.3567","6.3545","6.3636","6.3541","0.04%"
"2022년 02월 11일","6.3540","6.3576","6.3679","6.3538","0.02%"
"2022년 02월 10일","6.3526","6.3615","6.3637","6.3520","-0.15%"
"2022년 02월 09일","6.3619","6.3646","6.3657","6.3597","-0.06%"
"2022년 02월 08일","6.3660","6.3565","6.3720","6.3559","0.12%"
"2022년 02월 07일","6.3583","6.3569","6.3639","6.3544","-0.04%"
"2022년 02월 04일","6.3610","6.3610","6.3610","6.3610","0.00%"
"2022년 02월 03일","6.3610","6.3610","6.3610","6.3610","0.00%"
"2022년 02월 02일","6.3610","6.3610","6.3610","6.3610","0.00%"
"2022년 02월 01일","6.3610","6.3610","6.3610","6.3610","0.00%"
"2022년 01월 31일","6.3610","6.3610","6.3610","6.3610","0.01%"
"2022년 01월 28일","6.3605","6.3654","6.3672","6.3528","-0.06%"
"2022년 01월 27일","6.3643","6.3363","6.3706","6.3356","0.69%"
"2022년 01월 26일","6.3206","6.3225","6.3254","6.3186","-0.08%"
"2022년 01월 25일","6.3257","6.3285","6.3326","6.3223","-0.07%"
"2022년 01월 24일","6.3304","6.3349","6.3354","6.3243","-0.13%"
"2022년 01월 21일","6.3385","6.3450","6.3460","6.3358","-0.03%"
"2022년 01월 20일","6.3406","6.3439","6.3478","6.3395","-0.06%"
"2022년 01월 19일","6.3447","6.3534","6.3561","6.3435","-0.12%"
"2022년 01월 18일","6.3525","6.3470","6.3560","6.3376","0.07%"
"2022년 01월 17일","6.3482","6.3586","6.3590","6.3417","-0.07%"
"2022년 01월 14일","6.3524","6.3606","6.3618","6.3386","-0.11%"
"2022년 01월 13일","6.3595","6.3582","6.3651","6.3549","0.02%"
"2022년 01월 12일","6.3580","6.3688","6.3694","6.3566","-0.24%"
"2022년 01월 11일","6.3735","6.3722","6.3771","6.3685","-0.03%"
"2022년 01월 10일","6.3756","6.3744","6.3779","6.3698","-0.02%"
"2022년 01월 07일","6.3769","6.3787","6.3832","6.3710","-0.08%"
"2022년 01월 06일","6.3822","6.3707","6.3859","6.3667","0.29%"
"2022년 01월 05일","6.3640","6.3724","6.3745","6.3623","-0.13%"
"2022년 01월 04일","6.3721","6.3719","6.3794","6.3691","0.31%"
"2021년 12월 31일","6.3521","6.3762","6.3790","6.3384","-0.27%"
"2021년 12월 30일","6.3691","6.3703","6.3797","6.3667","0.02%"
"2021년 12월 29일","6.3680","6.3687","6.3738","6.3659","-0.01%"
"2021년 12월 28일","6.3684","6.3714","6.3743","6.3657","-0.03%"
"2021년 12월 27일","6.3705","6.3706","6.3749","6.3675","0.05%"
"2021년 12월 24일","6.3672","6.3720","6.3726","6.3658","-0.04%"
"2021년 12월 23일","6.3696","6.3685","6.3735","6.3671","0.00%"
"2021년 12월 22일","6.3695","6.3682","6.3752","6.3675","-0.03%"
"2021년 12월 21일","6.3716","6.3745","6.3769","6.3670","-0.06%"
"2021년 12월 20일","6.3756","6.3828","6.3847","6.3732","0.01%"
"2021년 12월 17일","6.3748","6.3691","6.3845","6.3675","0.12%"
"2021년 12월 16일","6.3674","6.3664","6.3710","6.3637","0.00%"
"2021년 12월 15일","6.3673","6.3647","6.3696","6.3618","0.00%"
"2021년 12월 14일","6.3671","6.3715","6.3726","6.3597","0.06%"
"2021년 12월 13일","6.3630","6.3664","6.3685","6.3584","-0.09%"
"2021년 12월 10일","6.3685","6.3830","6.3840","6.3609","-0.14%"
"2021년 12월 09일","6.3772","6.3470","6.3786","6.3411","0.53%"
"2021년 12월 08일","6.3435","6.3668","6.3675","6.3428","-0.35%"
"2021년 12월 07일","6.3657","6.3732","6.3746","6.3636","-0.16%"
"2021년 12월 06일","6.3756","6.3713","6.3808","6.3660","-0.00%"
"2021년 12월 03일","6.3758","6.3771","6.3773","6.3666","-0.01%"
"2021년 12월 02일","6.3763","6.3710","6.3808","6.3663","0.14%"
"2021년 12월 01일","6.3673","6.3681","6.3738","6.3596","0.05%"
"2021년 11월 30일","6.3640","6.3790","6.3795","6.3625","-0.37%"
"2021년 11월 29일","6.3875","6.3885","6.3903","6.3779","-0.08%"
"2021년 11월 26일","6.3924","6.3861","6.3950","6.3854","0.10%"
"2021년 11월 25일","6.3860","6.3914","6.3920","6.3838","-0.09%"
"2021년 11월 24일","6.3917","6.3896","6.3945","6.3838","0.01%"
"2021년 11월 23일","6.3910","6.3854","6.3948","6.3812","0.11%"
"2021년 11월 22일","6.3842","6.3907","6.3910","6.3746","-0.03%"
"2021년 11월 19일","6.3863","6.3837","6.3925","6.3791","0.02%"
"2021년 11월 18일","6.3851","6.3780","6.3896","6.3733","0.12%"
"2021년 11월 17일","6.3775","6.3888","6.3945","6.3741","-0.23%"
"2021년 11월 16일","6.3919","6.3819","6.3980","6.3664","0.15%"
"2021년 11월 15일","6.3824","6.3808","6.3868","6.3768","0.06%"
"2021년 11월 12일","6.3787","6.3962","6.3989","6.3781","-0.17%"
"2021년 11월 11일","6.3898","6.3889","6.4098","6.3882","0.03%"
"2021년 11월 10일","6.3882","6.3928","6.3965","6.3823","-0.05%"
"2021년 11월 09일","6.3916","6.3924","6.3986","6.3873","0.02%"
"2021년 11월 08일","6.3902","6.3967","6.4008","6.3914","-0.12%"
"2021년 11월 05일","6.3980","6.3966","6.4061","6.3966","0.02%"
"2021년 11월 04일","6.3970","6.3960","6.4013","6.3899","-0.14%"
"2021년 11월 03일","6.4061","6.4009","6.4085","6.3924","0.10%"
"2021년 11월 02일","6.3995","6.3966","6.4030","6.3941","0.04%"
"2021년 11월 01일","6.3972","6.4060","6.4079","6.3941","-0.12%"
"2021년 10월 29일","6.4050","6.3931","6.4094","6.3876","0.21%"
"2021년 10월 28일","6.3917","6.3976","6.4050","6.3914","0.00%"
"2021년 10월 27일","6.3915","6.3810","6.3986","6.3805","0.15%"
"2021년 10월 26일","6.3820","6.3825","6.3874","6.3777","-0.06%"
"2021년 10월 25일","6.3856","6.3875","6.3929","6.3787","0.03%"
"2021년 10월 22일","6.3839","6.3910","6.4019","6.3808","-0.13%"
"2021년 10월 21일","6.3925","6.3940","6.4031","6.3872","-0.02%"
"2021년 10월 20일","6.3936","6.3818","6.3979","6.3818","0.18%"
"2021년 10월 19일","6.3822","6.4299","6.4299","6.3797","-0.73%"
"2021년 10월 18일","6.4290","6.4335","6.4405","6.4276","-0.08%"
"2021년 10월 15일","6.4340","6.4358","6.4415","6.4255","-0.06%"
"2021년 10월 14일","6.4380","6.4337","6.4417","6.4311","0.18%"
"2021년 10월 13일","6.4262","6.4506","6.4520","6.4253","-0.35%"
"2021년 10월 12일","6.4485","6.4590","6.4594","6.4460","-0.02%"
"2021년 10월 11일","6.4501","6.4425","6.4507","6.4341","0.10%"
"2021년 10월 08일","6.4435","6.4493","6.4529","6.4392","-0.03%"
"2021년 09월 30일","6.4452","6.4711","6.4752","6.4431","-0.39%"
"2021년 09월 29일","6.4702","6.4610","6.4760","6.4604","0.17%"
"2021년 09월 28일","6.4595","6.4597","6.4639","6.4510","0.05%"
"2021년 09월 27일","6.4560","6.4559","6.4653","6.4536","-0.15%"
"2021년 09월 24일","6.4660","6.4602","6.4714","6.4563","0.11%"
"2021년 09월 23일","6.4590","6.4703","6.4711","6.4513","0.01%"
"2021년 09월 22일","6.4583","6.4662","6.4745","6.4596","-0.11%"
"2021년 09월 17일","6.4655","6.4547","6.4707","6.4464","0.14%"
"2021년 09월 16일","6.4566","6.4336","6.4602","6.4299","0.38%"
"2021년 09월 15일","6.4320","6.4434","6.4462","6.4296","-0.10%"
"2021년 09월 14일","6.4382","6.4482","6.4529","6.4367","-0.20%"
"2021년 09월 13일","6.4511","6.4443","6.4592","6.4443","0.11%"
"2021년 09월 10일","6.4440","6.4570","6.4577","6.4348","-0.11%"
"2021년 09월 09일","6.4514","6.4620","6.4653","6.4513","-0.15%"
"2021년 09월 08일","6.4612","6.4644","6.4669","6.4559","-0.08%"
"2021년 09월 07일","6.4662","6.4550","6.4689","6.4525","0.19%"
"2021년 09월 06일","6.4542","6.4540","6.4615","6.4506","0.02%"
"2021년 09월 03일","6.4528","6.4553","6.4613","6.4333","-0.05%"
"2021년 09월 02일","6.4558","6.4600","6.4649","6.4536","-0.04%"
"2021년 09월 01일","6.4586","6.4618","6.4711","6.4584","-0.03%"
"2021년 08월 31일","6.4604","6.4680","6.4728","6.4550","-0.08%"
"2021년 08월 30일","6.4658","6.4660","6.4727","6.4640","-0.08%"
"2021년 08월 27일","6.4711","6.4815","6.4884","6.4717","-0.15%"
"2021년 08월 26일","6.4809","6.4725","6.4878","6.4725","0.08%"
"2021년 08월 25일","6.4756","6.4714","6.4811","6.4707","0.07%"
"2021년 08월 24일","6.4710","6.4790","6.4851","6.4676","-0.15%"
"2021년 08월 23일","6.4805","6.4915","6.4973","6.4788","-0.32%"
"2021년 08월 20일","6.5012","6.4960","6.5057","6.4935","0.11%"
"2021년 08월 19일","6.4942","6.4847","6.4997","6.4840","0.16%"
"2021년 08월 18일","6.4841","6.4861","6.4872","6.4776","-0.02%"
"2021년 08월 17일","6.4854","6.4787","6.4889","6.4759","0.17%"
"2021년 08월 16일","6.4742","6.4774","6.4810","6.4719","-0.04%"
"2021년 08월 13일","6.4768","6.4778","6.4854","6.4749","-0.02%"
"2021년 08월 12일","6.4782","6.4767","6.4811","6.4719","-0.00%"
"2021년 08월 11일","6.4783","6.4846","6.4894","6.4752","-0.11%"
"2021년 08월 10일","6.4852","6.4826","6.4875","6.4774","-0.01%"
"2021년 08월 09일","6.4857","6.4835","6.4895","6.4731","0.05%"
"2021년 08월 06일","6.4825","6.4660","6.4848","6.4622","0.34%"
"2021년 08월 05일","6.4608","6.4671","6.4677","6.4595","-0.07%"
"2021년 08월 04일","6.4655","6.4662","6.4673","6.4555","-0.07%"
"2021년 08월 03일","6.4700","6.4656","6.4710","6.4604","0.12%"
"2021년 08월 02일","6.4620","6.4615","6.4693","6.4580","0.02%"
"2021년 07월 30일","6.4609","6.4645","6.4693","6.4506","0.07%"
"2021년 07월 29일","6.4562","6.4908","6.4908","6.4544","-0.53%"
"2021년 07월 28일","6.4905","6.5095","6.5101","6.4891","-0.31%"
"2021년 07월 27일","6.5104","6.4760","6.5132","6.4735","0.43%"
"2021년 07월 26일","6.4825","6.4790","6.4875","6.4785","0.03%"
"2021년 07월 23일","6.4808","6.4683","6.4829","6.4670","0.17%"
"2021년 07월 22일","6.4699","6.4675","6.4717","6.4616","0.05%"
"2021년 07월 21일","6.4664","6.4787","6.4818","6.4653","-0.28%"
"2021년 07월 20일","6.4845","6.4869","6.4910","6.4766","-0.07%"
"2021년 07월 19일","6.4893","6.4784","6.4924","6.4763","0.17%"
"2021년 07월 16일","6.4785","6.4648","6.4798","6.4619","0.33%"
"2021년 07월 15일","6.4569","6.4609","6.4708","6.4555","-0.18%"
"2021년 07월 14일","6.4688","6.4741","6.4783","6.4498","0.00%"
"2021년 07월 13일","6.4685","6.4699","6.4756","6.4619","-0.10%"
"2021년 07월 12일","6.4751","6.4763","6.4798","6.4697","-0.06%"
"2021년 07월 09일","6.4788","6.4851","6.4922","6.4770","-0.17%"
"2021년 07월 08일","6.4898","6.4771","6.4928","6.4721","0.28%"
"2021년 07월 07일","6.4718","6.4766","6.4774","6.4608","-0.05%"
"2021년 07월 06일","6.4752","6.4610","6.4811","6.4580","0.19%"
"2021년 07월 05일","6.4630","6.4696","6.4705","6.4572","-0.14%"
"2021년 07월 02일","6.4721","6.4693","6.4855","6.4688","0.06%"
"2021년 07월 01일","6.4679","6.4622","6.4708","6.4581","0.18%"
"2021년 06월 30일","6.4566","6.4634","6.4646","6.4525","-0.11%"
"2021년 06월 29일","6.4635","6.4590","6.4687","6.4538","0.12%"
"2021년 06월 28일","6.4555","6.4603","6.4659","6.4528","0.02%"
"2021년 06월 25일","6.4545","6.4653","6.4681","6.4496","-0.24%"
"2021년 06월 24일","6.4701","6.4780","6.4837","6.4645","-0.04%"
"2021년 06월 23일","6.4727","6.4740","6.4903","6.4712","-0.13%"
"2021년 06월 22일","6.4811","6.4647","6.4831","6.4580","0.24%"
"2021년 06월 21일","6.4659","6.4507","6.4732","6.4474","0.21%"
"2021년 06월 18일","6.4525","6.4476","6.4549","6.4340","0.07%"
"2021년 06월 17일","6.4477","6.3972","6.4512","6.3972","0.79%"
"2021년 06월 16일","6.3969","6.4026","6.4068","6.3945","-0.13%"
"2021년 06월 15일","6.4052","6.4056","6.4089","6.3979","0.13%"
"2021년 06월 11일","6.3967","6.3869","6.4005","6.3839","0.06%"
"2021년 06월 10일","6.3929","6.3875","6.3970","6.3810","0.10%"
"2021년 06월 09일","6.3865","6.3986","6.3994","6.3818","-0.21%"
"2021년 06월 08일","6.4000","6.3915","6.4025","6.3885","0.06%"
"2021년 06월 07일","6.3963","6.3960","6.4038","6.3925","0.03%"
"2021년 06월 04일","6.3945","6.4047","6.4135","6.3932","-0.14%"
"2021년 06월 03일","6.4036","6.3811","6.4056","6.3797","0.36%"
"2021년 06월 02일","6.3805","6.3780","6.3920","6.3760","0.01%"
"2021년 06월 01일","6.3796","6.3676","6.3858","6.3611","0.17%"
"2021년 05월 31일","6.3688","6.3690","6.3757","6.3568","0.02%"
"2021년 05월 28일","6.3674","6.3830","6.3854","6.3612","-0.24%"
"2021년 05월 27일","6.3824","6.3946","6.3979","6.3731","-0.13%"
"2021년 05월 26일","6.3905","6.4110","6.4111","6.3863","-0.30%"
"2021년 05월 25일","6.4100","6.4111","6.4159","6.4011","-0.12%"
"2021년 05월 24일","6.4177","6.4387","6.4405","6.4163","-0.25%"
"2021년 05월 21일","6.4339","6.4335","6.4381","6.4272","0.00%"
"2021년 05월 20일","6.4339","6.4350","6.4442","6.4308","-0.00%"
