"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","292.38","301.25","301.25","290.22","-","-2.92%"
"2022년 03월 03일","301.18","305.55","306.04","300.54","-","-0.87%"
"2022년 03월 02일","303.83","306.68","306.93","301.57","-","-1.03%"
"2022년 03월 01일","307.00","312.02","313.60","305.93","-","-1.14%"
"2022년 02월 28일","310.52","305.61","311.66","304.37","-","1.54%"
"2022년 02월 25일","305.81","297.61","306.08","297.34","-","3.27%"
"2022년 02월 24일","296.13","301.22","301.32","289.72","-","-1.93%"
"2022년 02월 23일","301.96","299.11","306.81","298.91","-","1.14%"
"2022년 02월 22일","298.55","302.08","302.12","297.35","-","-1.57%"
"2022년 02월 21일","303.33","304.49","304.94","302.63","-","-0.58%"
"2022년 02월 18일","305.10","309.61","309.65","304.12","-","-1.53%"
"2022년 02월 17일","309.84","316.76","323.05","309.50","-","-2.21%"
"2022년 02월 16일","316.85","312.86","317.47","312.73","-","1.59%"
"2022년 02월 15일","311.90","302.22","312.17","301.78","-","3.15%"
"2022년 02월 14일","302.37","303.46","304.33","299.53","-","-0.72%"
"2022년 02월 11일","304.58","311.09","311.59","303.70","-","-2.39%"
"2022년 02월 10일","312.04","315.13","316.50","310.16","-","-0.74%"
"2022년 02월 09일","314.38","309.57","314.57","307.19","-","1.65%"
"2022년 02월 08일","309.28","316.51","316.92","304.89","-","-2.11%"
"2022년 02월 07일","315.95","315.27","320.67","313.86","-","0.13%"
"2022년 02월 04일","315.53","313.09","316.53","312.91","-","0.73%"
"2022년 02월 03일","313.23","315.63","316.73","313.18","-","-1.12%"
"2022년 02월 02일","316.79","317.70","319.17","316.40","-","0.07%"
"2022년 02월 01일","316.55","312.80","317.06","312.61","-","1.58%"
"2022년 01월 31일","311.62","304.23","311.91","303.92","-","2.42%"
"2022년 01월 28일","304.26","305.12","306.93","300.90","-","-0.19%"
"2022년 01월 27일","304.83","318.01","318.07","304.40","-","-4.13%"
"2022년 01월 26일","317.96","315.68","321.61","315.20","-","0.69%"
"2022년 01월 25일","315.78","323.55","323.55","314.88","-","-2.56%"
"2022년 01월 24일","324.09","322.72","325.85","317.93","-","0.03%"
"2022년 01월 21일","323.99","327.34","328.79","323.30","-","-1.46%"
"2022년 01월 20일","328.78","326.88","332.61","326.85","-","0.42%"
"2022년 01월 19일","327.39","337.15","337.24","327.39","-","-3.21%"
"2022년 01월 18일","338.26","342.50","344.49","337.82","-","-1.15%"
"2022년 01월 17일","342.19","339.37","343.23","338.62","-","0.88%"
"2022년 01월 14일","339.20","337.13","339.40","334.55","-","0.46%"
"2022년 01월 13일","337.65","342.80","343.24","337.28","-","-1.19%"
"2022년 01월 12일","341.70","329.23","342.76","329.23","-","4.06%"
"2022년 01월 11일","328.37","325.66","328.92","323.76","-","0.80%"
"2022년 01월 10일","325.77","327.99","328.99","322.99","-","-0.65%"
"2022년 01월 07일","327.88","328.99","331.80","326.04","-","-0.33%"
"2022년 01월 06일","328.97","333.24","333.44","326.39","-","-1.65%"
"2022년 01월 05일","334.48","344.64","344.88","333.85","-","-2.98%"
"2022년 01월 04일","344.74","346.62","351.83","342.95","-","-0.16%"
"2022년 01월 03일","345.29","342.41","345.44","341.35","-","0.80%"
"2021년 12월 31일","342.54","342.33","344.69","341.95","-","0.04%"
"2021년 12월 30일","342.40","341.72","343.55","340.78","-","0.17%"
"2021년 12월 29일","341.81","342.59","343.08","340.20","-","0.07%"
"2021년 12월 28일","341.58","337.83","343.06","337.66","-","1.24%"
"2021년 12월 27일","337.40","335.09","338.25","334.61","-","0.67%"
"2021년 12월 24일","335.14","335.17","335.39","334.35","-","-1.69%"
"2021년 12월 23일","340.90","338.79","341.30","337.84","-","0.84%"
"2021년 12월 22일","338.05","333.98","338.51","333.55","-","1.46%"
"2021년 12월 21일","333.17","330.61","333.39","327.48","-","0.76%"
"2021년 12월 20일","330.67","344.34","344.50","329.95","-","-4.24%"
"2021년 12월 17일","345.32","351.50","351.50","342.57","-","-1.73%"
"2021년 12월 16일","351.40","352.20","355.99","350.63","-","-0.19%"
"2021년 12월 15일","352.08","353.26","354.36","347.50","-","-0.43%"
"2021년 12월 14일","353.60","358.65","358.79","352.11","-","-1.43%"
"2021년 12월 13일","358.75","364.40","365.64","358.18","-","-1.49%"
"2021년 12월 10일","364.19","361.05","364.58","358.69","-","0.79%"
"2021년 12월 09일","361.33","367.53","367.98","361.18","-","-1.67%"
"2021년 12월 08일","367.46","358.28","367.79","358.19","-","2.84%"
"2021년 12월 07일","357.30","357.00","358.66","351.19","-","0.24%"
"2021년 12월 06일","356.45","363.75","364.03","353.62","-","-2.10%"
"2021년 12월 03일","364.10","370.08","370.13","362.82","-","-1.60%"
"2021년 12월 02일","370.01","370.46","371.44","368.26","-","-0.34%"
"2021년 12월 01일","371.28","375.69","378.27","371.00","-","-1.03%"
"2021년 11월 30일","375.15","380.02","381.28","373.62","-","-0.99%"
"2021년 11월 29일","378.89","373.24","379.33","370.14","-","1.43%"
"2021년 11월 26일","373.53","377.08","380.52","371.88","-","-1.08%"
"2021년 11월 25일","377.60","378.76","379.02","376.07","-","-0.19%"
"2021년 11월 24일","378.31","381.85","383.27","374.92","-","-0.87%"
"2021년 11월 23일","381.64","386.87","386.91","379.76","-","-1.37%"
"2021년 11월 22일","386.94","377.16","391.07","376.21","-","2.55%"
"2021년 11월 19일","377.34","375.47","377.34","372.47","-","0.39%"
"2021년 11월 18일","375.86","376.13","378.93","373.85","-","-0.09%"
"2021년 11월 17일","376.21","372.70","376.93","372.52","-","0.89%"
"2021년 11월 16일","372.88","375.18","377.33","371.00","-","-0.82%"
"2021년 11월 15일","375.97","383.98","384.41","374.31","-","-1.97%"
"2021년 11월 12일","383.53","382.04","383.62","380.33","-","0.51%"
"2021년 11월 11일","381.60","375.85","381.75","375.09","-","1.44%"
"2021년 11월 10일","376.19","382.87","383.27","374.09","-","-1.86%"
"2021년 11월 09일","383.31","384.82","388.43","382.51","-","-0.42%"
"2021년 11월 08일","384.94","380.52","385.86","380.29","-","2.31%"
"2021년 11월 05일","376.24","379.63","381.42","374.86","-","-0.91%"
"2021년 11월 04일","379.70","371.73","380.56","371.73","-","2.29%"
"2021년 11월 03일","371.19","374.15","374.19","367.43","-","-0.60%"
"2021년 11월 02일","373.42","368.48","375.58","368.39","-","1.36%"
"2021년 11월 01일","368.42","368.20","368.65","362.64","-","0.11%"
"2021년 10월 29일","368.03","364.98","368.09","362.59","-","0.80%"
"2021년 10월 28일","365.10","365.29","367.37","359.30","-","-0.07%"
"2021년 10월 27일","365.36","364.32","368.10","361.46","-","0.30%"
"2021년 10월 26일","364.28","363.15","369.64","362.81","-","0.28%"
"2021년 10월 25일","363.25","353.67","363.72","353.38","-","2.66%"
"2021년 10월 22일","353.83","353.68","356.25","351.56","-","-0.06%"
"2021년 10월 21일","354.03","357.56","357.73","352.23","-","-1.02%"
"2021년 10월 20일","357.67","355.90","361.02","355.76","-","0.50%"
"2021년 10월 19일","355.90","353.92","358.94","353.69","-","0.56%"
