"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 07일","5.0095","5.0085","5.0240","4.9718","-","0.02%"
"2022년 03월 06일","5.0085","4.9270","5.0390","4.9117","-","1.44%"
"2022년 03월 04일","4.9375","4.7825","4.9490","4.7510","97.43K","3.26%"
"2022년 03월 03일","4.7815","4.6710","4.7985","4.6615","91.70K","2.49%"
"2022년 03월 02일","4.6655","4.5710","4.7050","4.5525","79.62K","1.50%"
"2022년 03월 01일","4.5965","4.5060","4.6020","4.4920","69.00K","3.19%"
"2022년 02월 28일","4.4545","4.4925","4.5320","4.4500","59.50K","-0.68%"
"2022년 02월 25일","4.4850","4.5075","4.5285","4.4560","57.82K","0.54%"
"2022년 02월 24일","4.4610","4.4660","4.5935","4.4470","68.08K","-0.61%"
"2022년 02월 23일","4.4885","4.5175","4.5535","4.4560","40.17K","-0.64%"
"2022년 02월 22일","4.5175","4.5175","4.5495","4.4720","52.98K","0.83%"
"2022년 02월 21일","4.4805","4.5205","4.5440","4.4675","-","-0.88%"
"2022년 02월 20일","4.5205","4.5165","4.5217","4.5060","-","-0.12%"
"2022년 02월 18일","4.5260","4.5090","4.5770","4.5010","23.36K","-0.04%"
"2022년 02월 17일","4.5280","4.5450","4.5545","4.4690","24.39K","-0.29%"
"2022년 02월 16일","4.5410","4.5360","4.5920","4.5240","21.25K","0.11%"
"2022년 02월 15일","4.5360","4.4910","4.5545","4.4765","18.21K","0.62%"
"2022년 02월 14일","4.5080","4.4560","4.5200","4.4520","21.34K","-0.03%"
"2022년 02월 11일","4.5095","4.6135","4.6280","4.4360","41.13K","-3.17%"
"2022년 02월 10일","4.6570","4.6300","4.6995","4.5800","44.47K","1.21%"
"2022년 02월 09일","4.6015","4.4760","4.6380","4.4225","39.27K","3.06%"
"2022년 02월 08일","4.4650","4.4850","4.4865","4.3995","25.54K","-0.06%"
"2022년 02월 07일","4.4675","4.4900","4.5200","4.4330","20.99K","-0.45%"
"2022년 02월 04일","4.4875","4.4820","4.5155","4.4160","13.16K","0.38%"
"2022년 02월 03일","4.4705","4.4710","4.4990","4.4220","9.36K","-0.49%"
"2022년 02월 02일","4.4925","4.4330","4.5030","4.4290","14.44K","1.35%"
"2022년 02월 01일","4.4325","4.3305","4.4430","4.3130","12.76K","2.45%"
"2022년 01월 31일","4.3265","4.3280","4.3585","4.2880","15.41K","0.30%"
"2022년 01월 28일","4.3135","4.4245","4.4540","4.3010","17.18K","-2.53%"
"2022년 01월 27일","4.4255","4.4590","4.4915","4.4025","8.34K","-2.07%"
"2022년 01월 26일","4.5190","4.4585","4.5325","4.4230","9.25K","1.48%"
"2022년 01월 25일","4.4530","4.4560","4.4790","4.3900","7.11K","0.82%"
"2022년 01월 24일","4.4170","4.5235","4.5395","4.3905","10.39K","-2.39%"
"2022년 01월 21일","4.5250","4.5290","4.5775","4.4830","8.79K","-1.25%"
"2022년 01월 20일","4.5825","4.4510","4.5840","4.4465","14.86K","2.44%"
"2022년 01월 19일","4.4735","4.4030","4.4895","4.3950","11.07K","2.02%"
"2022년 01월 18일","4.3850","4.4375","4.4490","4.3780","11.42K","-1.09%"
"2022년 01월 17일","4.4335","4.4443","4.4455","4.3827","-","-0.23%"
"2022년 01월 16일","4.4435","4.4280","4.4470","4.4280","-","0.52%"
"2022년 01월 14일","4.4205","4.5070","4.5440","4.4135","9.18K","-2.69%"
"2022년 01월 13일","4.5425","4.5565","4.5725","4.5015","11.90K","-0.66%"
"2022년 01월 12일","4.5725","4.4295","4.5945","4.4205","21.52K","3.29%"
"2022년 01월 11일","4.4270","4.3760","4.4350","4.3650","6.80K","1.76%"
"2022년 01월 10일","4.3505","4.4000","4.4270","4.3300","7.30K","-1.30%"
"2022년 01월 07일","4.4080","4.3535","4.4150","4.3415","10.00K","1.28%"
"2022년 01월 06일","4.3525","4.3905","4.4050","4.3125","8.36K","-1.32%"
"2022년 01월 05일","4.4105","4.4645","4.4645","4.3705","9.65K","-1.31%"
"2022년 01월 04일","4.4690","4.4155","4.4720","4.3700","7.22K","1.22%"
"2022년 01월 03일","4.4150","4.4535","4.4710","4.3320","3.81K","-0.86%"
"2021년 12월 31일","4.4535","4.3825","4.4635","4.3760","5.83K","1.55%"
"2021년 12월 30일","4.3855","4.4060","4.4240","4.3740","4.53K","-0.40%"
"2021년 12월 29일","4.4030","4.4300","4.4395","4.3750","4.67K","-0.51%"
"2021년 12월 28일","4.4255","4.4570","4.4855","4.4165","3.53K","-0.78%"
"2021년 12월 27일","4.4605","4.3755","4.4780","4.3350","2.92K","1.26%"
"2021년 12월 24일","4.4050","4.4050","4.4050","4.4050","-","0.50%"
"2021년 12월 23일","4.3830","4.3800","4.4020","4.3345","2.88K","0.03%"
"2021년 12월 22일","4.3815","4.3380","4.3830","4.3240","3.60K","1.03%"
"2021년 12월 21일","4.3370","4.2955","4.3480","4.2865","4.43K","1.20%"
"2021년 12월 20일","4.2855","4.2725","4.3015","4.2270","3.04K","-0.06%"
"2021년 12월 17일","4.2880","4.2910","4.3215","4.2695","3.84K","-0.21%"
"2021년 12월 16일","4.2970","4.2400","4.3130","4.2170","5.63K","2.86%"
"2021년 12월 15일","4.1775","4.2575","4.2705","4.1165","9.24K","-1.73%"
"2021년 12월 14일","4.2510","4.2895","4.2980","4.2445","2.79K","-0.68%"
"2021년 12월 13일","4.2800","4.2940","4.3250","4.2730","5.41K","0.02%"
"2021년 12월 10일","4.2790","4.3030","4.3455","4.2665","4.46K","-1.03%"
"2021년 12월 09일","4.3235","4.3660","4.3880","4.2900","4.87K","-1.38%"
"2021년 12월 08일","4.3840","4.3290","4.3870","4.3135","6.28K","1.20%"
"2021년 12월 07일","4.3320","4.3285","4.3790","4.2935","6.01K","0.08%"
"2021년 12월 06일","4.3285","4.2725","4.3360","4.2480","3.49K","1.60%"
"2021년 12월 03일","4.2605","4.2845","4.3315","4.2410","2.75K","-0.72%"
"2021년 12월 02일","4.2915","4.2310","4.3050","4.2285","4.00K","1.18%"
"2021년 12월 01일","4.2415","4.3065","4.3430","4.2065","4.14K","-0.76%"
"2021년 11월 30일","4.2740","4.3560","4.3580","4.2465","4.67K","-1.41%"
"2021년 11월 29일","4.3350","4.3000","4.3730","4.3000","3.62K","1.16%"
"2021년 11월 26일","4.2855","4.4765","4.5035","4.2810","6.68K","-3.48%"
"2021년 11월 25일","4.4400","4.4700","4.5000","4.4165","-","-0.57%"
"2021년 11월 24일","4.4655","4.4120","4.4925","4.3885","4.75K","1.09%"
"2021년 11월 23일","4.4175","4.3865","4.4465","4.3745","3.92K","0.56%"
"2021년 11월 22일","4.3930","4.3850","4.4210","4.3480","3.25K","0.07%"
"2021년 11월 19일","4.3900","4.2900","4.4000","4.2855","3.63K","2.08%"
"2021년 11월 18일","4.3005","4.2280","4.3165","4.2280","6.12K","0.73%"
"2021년 11월 17일","4.2695","4.3475","4.3660","4.1990","5.23K","-2.01%"
"2021년 11월 16일","4.3570","4.4075","4.4395","4.3300","4.75K","-0.93%"
"2021년 11월 15일","4.3980","4.4500","4.4695","4.3885","4.28K","-0.88%"
"2021년 11월 12일","4.4370","4.3920","4.4450","4.3670","5.18K","1.19%"
"2021년 11월 11일","4.3850","4.3100","4.4100","4.3100","8.11K","1.60%"
"2021년 11월 10일","4.3160","4.3570","4.4000","4.2865","6.21K","-0.99%"
"2021년 11월 09일","4.3590","4.3810","4.4255","4.3250","5.43K","-0.45%"
"2021년 11월 08일","4.3785","4.3325","4.3920","4.3115","4.76K","1.40%"
"2021년 11월 05일","4.3180","4.3015","4.3380","4.2645","4.11K","0.58%"
"2021년 11월 04일","4.2930","4.3380","4.3755","4.2560","3.97K","0.00%"
"2021년 11월 03일","4.2930","4.3260","4.4085","4.2545","4.91K","-0.76%"
"2021년 11월 02일","4.3260","4.3635","4.3685","4.2920","2.52K","-0.46%"
"2021년 11월 01일","4.3460","4.3315","4.3600","4.2930","2.82K","0.43%"
"2021년 10월 29일","4.3275","4.4080","4.4090","4.2995","3.47K","-1.67%"
"2021년 10월 28일","4.4010","4.3520","4.4395","4.3520","4.43K","0.80%"
"2021년 10월 27일","4.3660","4.4655","4.4750","4.3285","5.20K","-2.13%"
"2021년 10월 26일","4.4610","4.4930","4.5095","4.4475","3.62K","-0.70%"
"2021년 10월 25일","4.4925","4.4710","4.5190","4.4635","2.85K","0.98%"
"2021년 10월 22일","4.4490","4.4955","4.5495","4.4075","1.28K","-0.97%"
"2021년 10월 21일","4.4925","4.6620","4.6840","4.4705","2.56K","-3.71%"
"2021년 10월 20일","4.6655","4.6185","4.6760","4.5545","3.04K","0.77%"
"2021년 10월 19일","4.6300","4.6400","4.7415","4.6000","3.12K","-0.52%"
"2021년 10월 18일","4.6540","4.7000","4.7335","4.6280","4.15K","-0.16%"
"2021년 10월 15일","4.6615","4.5450","4.7050","4.5450","4.43K","2.19%"
"2021년 10월 14일","4.5615","4.4525","4.5625","4.4525","3.48K","2.47%"
"2021년 10월 13일","4.4515","4.2945","4.4575","4.2850","8.12K","3.56%"
"2021년 10월 12일","4.2985","4.2925","4.3625","4.2640","4.47K","-0.94%"
"2021년 10월 11일","4.3395","4.2465","4.3585","4.2360","5.60K","2.01%"
"2021년 10월 08일","4.2540","4.2280","4.2750","4.2085","4.86K","0.75%"
"2021년 10월 07일","4.2225","4.1545","4.2370","4.1510","5.51K","2.33%"
"2021년 10월 06일","4.1265","4.1240","4.1835","4.0965","2.08K","-0.96%"
"2021년 10월 05일","4.1665","4.1830","4.1830","4.1350","2.08K","-1.08%"
"2021년 10월 04일","4.2120","4.1900","4.2700","4.1575","1.45K","1.31%"
"2021년 10월 01일","4.1575","4.0500","4.1675","4.0405","2.05K","2.33%"
"2021년 09월 30일","4.0630","4.1100","4.1110","4.0345","2.31K","-2.71%"
"2021년 09월 29일","4.1760","4.2215","4.2245","4.1455","1.18K","-1.01%"
"2021년 09월 28일","4.2185","4.2465","4.2715","4.2110","1.52K","-1.06%"
"2021년 09월 27일","4.2635","4.2885","4.2895","4.2330","1.14K","-0.09%"
"2021년 09월 24일","4.2675","4.2160","4.2770","4.2160","1.54K","1.11%"
"2021년 09월 23일","4.2205","4.2065","4.2490","4.1920","2.27K","-0.42%"
"2021년 09월 22일","4.2385","4.1235","4.2620","4.1235","1.08K","3.03%"
"2021년 09월 21일","4.1140","4.1215","4.1485","4.0090","2.62K","0.24%"
"2021년 09월 20일","4.1040","4.2150","4.2150","4.0870","2.57K","-3.00%"
"2021년 09월 17일","4.2310","4.2910","4.3295","4.2195","0.94K","-0.87%"
"2021년 09월 16일","4.2680","4.3465","4.3465","4.2525","0.61K","-2.73%"
"2021년 09월 15일","4.3880","4.2815","4.4010","4.2815","1.92K","1.86%"
"2021년 09월 14일","4.3080","4.3565","4.3565","4.2800","0.90K","-0.99%"
"2021년 09월 13일","4.3510","4.4270","4.4410","4.3210","1.79K","-1.91%"
"2021년 09월 10일","4.4355","4.2885","4.4445","4.2885","2.50K","3.71%"
"2021년 09월 09일","4.2770","4.2205","4.2900","4.2080","0.90K","1.28%"
"2021년 09월 08일","4.2230","4.2595","4.2595","4.2000","2.07K","-1.05%"
"2021년 09월 07일","4.2680","4.3270","4.3270","4.2425","2.84K","-1.48%"
"2021년 09월 06일","4.3320","4.3325","4.3457","4.3040","-","-0.01%"
"2021년 09월 05일","4.3325","4.3350","4.3422","4.3315","-","0.35%"
"2021년 09월 03일","4.3175","4.2785","4.3300","4.2665","1.82K","0.64%"
"2021년 09월 02일","4.2900","4.2775","4.2920","4.2455","1.83K","0.68%"
"2021년 09월 01일","4.2610","4.3440","4.3440","4.2435","2.20K","-1.97%"
"2021년 08월 31일","4.3465","4.3380","4.3570","4.3170","2.37K","-0.14%"
"2021년 08월 30일","4.3525","4.3095","4.3865","4.3085","0.96K","1.07%"
"2021년 08월 27일","4.3065","4.2710","4.3100","4.2550","0.53K","1.50%"
"2021년 08월 26일","4.2430","4.2590","4.2665","4.2260","0.66K","-0.49%"
"2021년 08월 25일","4.2640","4.2705","4.2880","4.2600","1.06K","0.20%"
"2021년 08월 24일","4.2555","4.2135","4.2875","4.2120","0.50K","1.02%"
"2021년 08월 23일","4.2125","4.1580","4.2205","4.1295","1.19K","2.21%"
