"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","122.11","125.44","126.38","120.97","37.09K","-3.85%"
"2022년 03월 03일","127.00","130.94","131.16","126.23","18.19K","-2.25%"
"2022년 03월 02일","129.92","126.24","130.46","126.24","22.03K","3.77%"
"2022년 03월 01일","125.20","129.93","129.93","124.14","31.62K","-3.81%"
"2022년 02월 28일","130.16","129.20","131.79","127.95","81.54K","-0.74%"
"2022년 02월 25일","131.13","129.50","131.15","127.29","55.76K","1.53%"
"2022년 02월 24일","129.15","118.14","129.37","118.14","61.15K","4.74%"
"2022년 02월 23일","123.31","128.05","129.36","123.11","43.55K","-2.58%"
"2022년 02월 22일","126.58","126.67","130.04","124.94","47.52K","-1.43%"
"2022년 02월 18일","128.41","130.83","130.83","127.15","34.94K","-1.60%"
"2022년 02월 17일","130.50","133.96","134.00","130.37","30.83K","-3.78%"
"2022년 02월 16일","135.63","133.76","135.80","132.17","20.15K","0.47%"
"2022년 02월 15일","135.00","130.51","135.02","130.49","27.63K","6.02%"
"2022년 02월 14일","127.34","127.18","130.29","125.76","54.20K","0.24%"
"2022년 02월 11일","127.03","133.77","134.85","126.07","41.16K","-4.98%"
"2022년 02월 10일","133.69","134.55","138.17","133.05","34.56K","-3.18%"
"2022년 02월 09일","138.08","135.50","138.13","133.80","34.91K","3.61%"
"2022년 02월 08일","133.27","129.07","133.44","129.07","40.73K","2.88%"
"2022년 02월 07일","129.54","130.26","132.07","129.26","33.13K","-0.03%"
"2022년 02월 04일","129.58","128.31","130.60","126.45","35.16K","1.01%"
"2022년 02월 03일","128.29","131.42","133.00","127.93","72.60K","-4.77%"
"2022년 02월 02일","134.71","134.44","135.79","132.25","169.30K","1.88%"
"2022년 02월 01일","132.22","132.41","132.41","128.76","53.82K","0.86%"
"2022년 01월 31일","131.09","123.81","131.18","123.81","68.59K","6.29%"
"2022년 01월 28일","123.33","120.47","123.40","117.06","83.69K","2.37%"
"2022년 01월 27일","120.47","127.87","127.87","120.22","170.88K","-4.86%"
"2022년 01월 26일","126.63","128.96","132.21","125.53","115.88K","1.44%"
"2022년 01월 25일","124.83","126.27","127.75","123.81","74.30K","-3.81%"
"2022년 01월 24일","129.77","124.74","129.83","120.64","197.94K","1.75%"
"2022년 01월 21일","127.54","128.81","132.92","127.31","176.10K","-1.90%"
"2022년 01월 20일","130.01","135.09","136.80","129.93","59.05K","-3.05%"
"2022년 01월 19일","134.10","140.00","141.07","133.89","128.94K","-3.22%"
"2022년 01월 18일","138.56","143.79","144.08","138.30","70.01K","-5.13%"
"2022년 01월 14일","146.05","141.22","146.11","141.22","41.82K","2.64%"
"2022년 01월 13일","142.29","148.54","149.50","141.81","38.42K","-2.69%"
"2022년 01월 12일","146.23","146.99","147.99","144.63","45.44K","0.66%"
"2022년 01월 11일","145.27","143.13","145.73","141.84","55.50K","1.59%"
"2022년 01월 10일","142.99","140.98","143.12","137.85","76.94K","-0.01%"
"2022년 01월 07일","143.01","148.60","149.02","142.80","47.50K","-3.65%"
"2022년 01월 06일","148.43","146.91","149.21","145.23","105.18K","0.76%"
"2022년 01월 05일","147.31","153.26","153.92","147.20","100.84K","-4.36%"
"2022년 01월 04일","154.02","156.88","157.20","150.68","94.07K","-1.24%"
"2022년 01월 03일","155.95","154.60","156.50","153.59","50.13K","1.58%"
"2021년 12월 31일","153.52","153.17","154.14","153.14","24.63K","0.41%"
"2021년 12월 30일","152.89","154.23","154.92","152.75","28.57K","-0.84%"
"2021년 12월 29일","154.19","153.66","154.67","153.23","23.91K","0.55%"
"2021년 12월 28일","153.35","156.42","156.42","152.41","42.83K","-1.34%"
"2021년 12월 27일","155.43","150.85","155.55","150.85","55.32K","3.62%"
"2021년 12월 23일","150.00","148.50","150.49","148.50","45.49K","1.37%"
"2021년 12월 22일","147.98","146.64","147.98","144.84","21.50K","0.88%"
"2021년 12월 21일","146.69","144.94","146.80","143.10","37.40K","3.35%"
"2021년 12월 20일","141.93","141.01","142.57","139.83","44.20K","-1.09%"
"2021년 12월 17일","143.50","141.63","145.24","140.92","38.71K","0.27%"
"2021년 12월 16일","143.12","151.44","151.48","142.17","58.16K","-4.71%"
"2021년 12월 15일","150.20","145.65","150.29","142.88","36.61K","3.70%"
"2021년 12월 14일","144.84","144.59","145.24","143.00","44.69K","-0.83%"
"2021년 12월 13일","146.05","151.32","151.32","145.89","52.67K","-3.03%"
"2021년 12월 10일","150.61","153.17","153.17","149.12","26.25K","0.20%"
"2021년 12월 09일","150.31","153.73","155.36","150.14","41.16K","-2.78%"
"2021년 12월 08일","154.61","154.94","154.94","152.64","38.87K","-0.02%"
"2021년 12월 07일","154.64","149.98","154.85","149.98","44.85K","5.61%"
"2021년 12월 06일","146.42","147.26","147.81","141.92","40.59K","-0.52%"
"2021년 12월 03일","147.19","150.44","151.45","145.01","43.40K","-1.14%"
"2021년 12월 02일","148.88","148.23","150.18","145.86","32.95K","-0.06%"
"2021년 12월 01일","148.97","151.77","154.61","148.83","67.34K","-0.20%"
"2021년 11월 30일","149.27","151.46","152.50","147.90","50.92K","-1.89%"
"2021년 11월 29일","152.15","149.48","152.22","148.48","59.53K","3.59%"
"2021년 11월 26일","146.88","149.50","149.99","145.51","44.25K","-3.08%"
"2021년 11월 24일","151.55","149.23","151.63","147.89","27.35K","0.73%"
"2021년 11월 23일","150.45","151.16","152.38","147.66","55.93K","-0.44%"
"2021년 11월 22일","151.11","154.53","155.86","151.04","57.98K","-1.46%"
"2021년 11월 19일","153.35","153.55","154.52","152.50","54.43K","-0.12%"
