"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","449.36","457.11","461.14","444.30","1.48M","-2.65%"
"2022년 03월 03일","461.61","474.38","474.52","458.80","1.36M","-2.10%"
"2022년 03월 02일","471.50","460.77","474.79","459.70","947.15K","3.18%"
"2022년 03월 01일","456.97","472.24","474.99","451.96","1.40M","-3.63%"
"2022년 02월 28일","474.16","470.85","478.37","464.61","1.45M","-0.61%"
"2022년 02월 25일","477.06","469.21","477.06","462.57","2.35M","1.67%"
"2022년 02월 24일","469.24","435.08","469.99","434.03","2.87M","3.66%"
"2022년 02월 23일","452.68","469.11","474.00","451.22","2.17M","-2.38%"
"2022년 02월 22일","463.73","461.53","474.86","456.37","2.76M","-0.61%"
"2022년 02월 18일","466.57","472.06","473.80","460.08","1.96M","-1.12%"
"2022년 02월 17일","471.84","483.74","484.41","471.11","2.00M","-3.76%"
"2022년 02월 16일","490.25","484.07","492.07","479.79","889.39K","0.03%"
"2022년 02월 15일","490.09","474.51","491.36","473.25","1.63M","5.52%"
"2022년 02월 14일","464.46","465.60","473.84","458.40","1.89M","0.09%"
"2022년 02월 11일","464.02","489.72","493.28","460.69","2.63M","-5.09%"
"2022년 02월 10일","488.90","492.32","507.88","486.12","1.53M","-3.12%"
"2022년 02월 09일","504.63","495.04","504.69","488.84","1.68M","3.28%"
"2022년 02월 08일","488.60","474.53","489.59","473.74","980.40K","2.53%"
"2022년 02월 07일","476.55","478.00","484.51","474.75","1.16M","-0.06%"
"2022년 02월 04일","476.82","471.89","480.90","465.50","1.69M","0.57%"
"2022년 02월 03일","474.10","483.20","491.19","472.28","2.11M","-4.35%"
"2022년 02월 02일","495.67","493.23","496.92","486.26","1.73M","2.53%"
"2022년 02월 01일","483.46","484.16","484.94","471.39","1.34M","0.83%"
"2022년 01월 31일","479.47","457.31","480.20","454.79","2.61M","5.37%"
"2022년 01월 28일","455.03","446.11","455.03","433.28","2.39M","1.92%"
"2022년 01월 27일","446.47","471.89","472.46","444.97","2.78M","-4.45%"
"2022년 01월 26일","467.27","473.12","486.77","460.20","2.82M","1.54%"
"2022년 01월 25일","460.20","465.75","471.48","457.55","3.54M","-3.73%"
"2022년 01월 24일","478.04","462.76","478.93","446.93","5.15M","1.14%"
"2022년 01월 21일","472.64","477.28","490.85","471.59","4.65M","-1.66%"
"2022년 01월 20일","480.64","500.03","504.00","480.00","2.75M","-3.14%"
"2022년 01월 19일","496.20","515.39","518.56","495.85","3.00M","-2.94%"
"2022년 01월 18일","511.24","526.61","526.68","510.12","2.26M","-4.47%"
"2022년 01월 14일","535.16","518.51","535.66","518.44","1.13M","2.39%"
"2022년 01월 13일","522.65","543.32","547.85","521.32","1.09M","-2.33%"
"2022년 01월 12일","535.14","536.37","540.07","529.81","1.19M","0.73%"
"2022년 01월 11일","531.24","519.68","531.86","515.84","1.04M","1.88%"
"2022년 01월 10일","521.43","514.79","522.56","504.00","1.78M","0.04%"
"2022년 01월 07일","521.24","536.29","538.25","519.61","761.55K","-2.90%"
"2022년 01월 06일","536.81","532.59","539.32","526.82","977.67K","0.78%"
"2022년 01월 05일","532.67","547.18","551.88","532.19","1.23M","-3.40%"
"2022년 01월 04일","551.40","555.56","559.02","538.12","1.14M","-0.31%"
"2022년 01월 03일","553.10","545.97","553.64","543.82","561.37K","1.99%"
"2021년 12월 31일","542.32","544.50","548.14","542.27","405.84K","-0.30%"
"2021년 12월 30일","543.96","549.01","551.29","542.27","428.00K","-1.16%"
"2021년 12월 29일","550.34","549.29","553.78","546.97","410.59K","0.15%"
"2021년 12월 28일","549.50","558.20","558.28","546.96","658.18K","-1.10%"
"2021년 12월 27일","555.63","542.79","555.75","542.66","816.01K","2.74%"
"2021년 12월 23일","540.81","536.70","544.31","536.69","700.13K","0.97%"
"2021년 12월 22일","535.63","527.39","535.63","524.65","702.89K","1.04%"
"2021년 12월 21일","530.12","523.19","530.37","516.04","535.14K","3.61%"
"2021년 12월 20일","511.66","508.20","515.65","506.08","700.59K","-0.78%"
"2021년 12월 17일","515.70","511.83","523.92","510.12","900.71K","-0.24%"
"2021년 12월 16일","516.92","542.70","544.23","513.82","929.69K","-4.36%"
"2021년 12월 15일","540.50","522.42","540.99","515.40","741.00K","3.67%"
"2021년 12월 14일","521.36","517.45","524.11","514.57","906.17K","-0.48%"
"2021년 12월 13일","523.88","540.34","540.58","522.96","743.40K","-2.82%"
"2021년 12월 10일","539.09","544.01","546.60","532.42","673.54K","0.94%"
"2021년 12월 09일","534.05","543.39","548.81","533.58","557.24K","-2.30%"
"2021년 12월 08일","546.62","547.28","547.76","540.98","555.20K","-0.65%"
"2021년 12월 07일","550.20","535.48","551.28","535.48","846.03K","5.05%"
"2021년 12월 06일","523.77","523.42","525.37","507.38","677.91K","-0.13%"
"2021년 12월 03일","524.44","533.21","538.49","518.55","830.36K","-0.25%"
"2021년 12월 02일","525.77","518.25","529.43","515.63","1.04M","0.14%"
"2021년 12월 01일","525.01","537.00","546.48","524.98","1.04M","-0.80%"
"2021년 11월 30일","529.24","536.56","541.37","524.79","1.09M","-1.75%"
"2021년 11월 29일","538.68","528.02","539.75","524.53","804.10K","3.84%"
"2021년 11월 26일","518.74","523.52","528.26","514.92","815.93K","-2.78%"
"2021년 11월 24일","533.59","523.65","533.86","518.41","705.75K","1.10%"
"2021년 11월 23일","527.79","527.83","532.65","519.02","809.13K","-0.40%"
"2021년 11월 22일","529.92","540.55","548.02","529.26","1.47M","-1.45%"
"2021년 11월 19일","537.71","536.30","541.35","533.63","1.14M","0.28%"
"2021년 11월 18일","536.22","536.99","538.91","531.10","667.35K","1.67%"
"2021년 11월 17일","527.40","531.37","531.37","524.82","514.35K","-0.70%"
"2021년 11월 16일","531.10","521.48","531.92","520.67","674.43K","1.50%"
"2021년 11월 15일","523.26","527.57","527.57","517.88","772.69K","-0.07%"
"2021년 11월 12일","523.65","520.38","526.13","517.51","656.85K","0.98%"
"2021년 11월 11일","518.58","516.24","519.82","512.25","759.96K","2.11%"
"2021년 11월 10일","507.84","512.74","520.28","505.63","1.31M","-2.95%"
"2021년 11월 09일","523.27","527.50","528.80","517.68","907.61K","0.00%"
"2021년 11월 08일","523.27","520.59","526.58","517.61","973.82K","1.35%"
"2021년 11월 05일","516.29","513.80","520.25","511.17","1.51M","1.11%"
"2021년 11월 04일","510.62","498.96","512.90","497.10","1.36M","3.36%"
"2021년 11월 03일","494.00","488.84","494.60","487.11","725.05K","1.15%"
"2021년 11월 02일","488.37","482.36","488.38","482.36","741.83K","1.24%"
"2021년 11월 01일","482.37","475.60","482.48","474.00","849.09K","1.63%"
"2021년 10월 29일","474.63","468.53","474.69","468.00","711.92K","0.45%"
"2021년 10월 28일","472.52","468.27","472.89","467.61","1.09M","2.25%"
"2021년 10월 27일","462.10","462.54","467.43","460.61","1.08M","-0.72%"
"2021년 10월 26일","465.44","468.73","470.35","463.87","626.49K","0.08%"
"2021년 10월 25일","465.09","463.17","467.76","462.94","561.59K","0.69%"
"2021년 10월 22일","461.92","464.70","469.50","461.12","1.09M","-1.12%"
"2021년 10월 21일","467.16","459.81","467.76","459.81","434.55K","1.01%"
"2021년 10월 20일","462.50","462.36","464.17","460.60","420.46K","-0.21%"
"2021년 10월 19일","463.46","457.10","463.46","457.01","464.73K","1.23%"
"2021년 10월 18일","457.85","450.32","457.98","449.51","450.90K","0.81%"
"2021년 10월 15일","454.19","454.49","455.55","451.89","546.45K","0.67%"
"2021년 10월 14일","451.18","445.99","451.18","444.64","828.73K","3.10%"
"2021년 10월 13일","437.60","438.19","440.13","436.52","585.55K","0.58%"
"2021년 10월 12일","435.09","443.37","444.02","433.26","1.07M","-1.25%"
"2021년 10월 11일","440.59","441.73","448.06","440.45","510.69K","-0.67%"
"2021년 10월 08일","443.56","449.76","450.34","443.20","557.63K","-1.02%"
"2021년 10월 07일","448.15","449.00","454.09","447.58","637.96K","1.17%"
"2021년 10월 06일","442.97","436.03","443.23","434.83","1.14M","0.39%"
"2021년 10월 05일","441.25","437.99","444.31","436.02","1.05M","1.51%"
"2021년 10월 04일","434.67","443.81","443.81","433.34","1.39M","-2.58%"
"2021년 10월 01일","446.16","447.64","448.48","438.83","1.04M","0.07%"
"2021년 09월 30일","445.87","450.79","453.19","445.87","1.51M","-0.04%"
"2021년 09월 29일","446.05","454.32","455.43","445.28","2.26M","-1.58%"
"2021년 09월 28일","453.20","462.07","465.07","453.20","1.82M","-3.91%"
"2021년 09월 27일","471.65","469.36","473.39","465.32","446.63K","-0.24%"
"2021년 09월 24일","472.80","469.75","473.81","469.00","397.29K","-0.36%"
"2021년 09월 23일","474.50","470.14","476.00","469.60","802.35K","1.33%"
"2021년 09월 22일","468.26","462.33","469.28","461.22","436.37K","2.08%"
"2021년 09월 21일","458.74","460.81","462.09","454.59","738.01K","0.30%"
"2021년 09월 20일","457.39","458.12","460.78","450.77","1.04M","-2.48%"
"2021년 09월 17일","469.00","475.34","475.34","466.88","808.87K","-1.59%"
"2021년 09월 16일","476.60","471.20","478.18","470.45","551.76K","0.19%"
"2021년 09월 15일","475.69","473.28","475.69","469.38","1.26M","0.58%"
"2021년 09월 14일","472.97","475.58","476.53","470.90","860.78K","0.00%"
"2021년 09월 13일","472.95","473.40","473.85","466.75","945.30K","0.96%"
"2021년 09월 10일","468.46","468.59","475.58","468.42","986.69K","0.79%"
"2021년 09월 09일","464.77","462.83","467.52","462.80","1.31M","0.35%"
"2021년 09월 08일","463.14","467.26","467.26","459.11","1.03M","-1.28%"
"2021년 09월 07일","469.15","470.60","470.81","466.39","547.00K","-0.37%"
"2021년 09월 03일","470.88","467.46","472.71","466.42","452.13K","0.75%"
"2021년 09월 02일","467.38","468.29","468.82","465.63","500.82K","0.37%"
"2021년 09월 01일","465.64","470.64","470.64","465.64","544.33K","-0.54%"
"2021년 08월 31일","468.19","472.47","472.47","464.55","702.79K","-0.80%"
"2021년 08월 30일","471.96","472.93","476.48","470.27","839.77K","0.20%"
"2021년 08월 27일","471.02","462.46","471.58","461.81","801.52K","1.91%"
"2021년 08월 26일","462.20","460.98","463.99","458.84","761.53K","0.09%"
"2021년 08월 25일","461.77","460.72","465.12","460.72","758.08K","0.76%"
"2021년 08월 24일","458.28","459.60","461.00","457.49","553.95K","0.00%"
"2021년 08월 23일","458.28","450.95","458.89","450.95","727.05K","2.82%"
"2021년 08월 20일","445.73","443.59","446.52","440.42","599.48K","0.75%"
"2021년 08월 19일","442.41","436.08","444.78","432.81","725.22K","0.82%"
"2021년 08월 18일","438.81","444.59","446.79","438.23","626.50K","-1.32%"
"2021년 08월 17일","444.69","448.35","448.35","440.53","616.89K","-1.94%"
"2021년 08월 16일","453.47","454.30","454.52","449.67","381.35K","-0.37%"
"2021년 08월 13일","455.16","451.28","455.23","450.89","353.37K","0.63%"
"2021년 08월 12일","452.32","452.50","454.00","448.69","510.47K","-1.07%"
"2021년 08월 11일","457.23","459.65","460.22","452.07","432.29K","-0.34%"
"2021년 08월 10일","458.80","464.88","465.68","455.45","884.79K","-1.16%"
"2021년 08월 09일","464.19","467.65","467.92","462.23","350.04K","-0.34%"
"2021년 08월 06일","465.77","465.35","468.11","464.55","411.03K","-0.50%"
"2021년 08월 05일","468.10","470.27","471.38","465.44","473.31K","0.02%"
"2021년 08월 04일","468.02","464.20","470.27","463.51","542.03K","1.02%"
"2021년 08월 03일","463.30","460.82","463.30","455.43","589.57K","0.76%"
"2021년 08월 02일","459.80","462.00","465.38","458.74","954.78K","0.63%"
"2021년 07월 30일","456.91","449.10","457.84","449.10","773.55K","0.82%"
"2021년 07월 29일","453.20","445.73","454.47","445.73","767.91K","2.04%"
"2021년 07월 28일","444.14","438.59","446.01","436.48","751.78K","1.63%"
"2021년 07월 27일","437.00","443.90","443.90","427.77","822.33K","-1.84%"
"2021년 07월 26일","445.17","443.15","445.87","442.22","374.43K","0.03%"
"2021년 07월 23일","445.03","444.84","445.47","439.54","437.48K","0.51%"
"2021년 07월 22일","442.77","443.17","445.20","439.49","395.09K","-0.59%"
"2021년 07월 21일","445.40","433.78","445.61","433.78","679.88K","3.07%"
"2021년 07월 20일","432.13","428.37","435.41","423.00","1.07M","1.36%"
"2021년 07월 19일","426.32","420.92","427.02","418.51","1.36M","-0.10%"
"2021년 07월 16일","426.75","437.59","439.80","425.73","857.17K","-2.17%"
"2021년 07월 15일","436.23","444.30","444.30","433.00","885.67K","-2.22%"
"2021년 07월 14일","446.13","452.21","455.09","444.85","752.18K","-0.46%"
"2021년 07월 13일","448.20","448.44","450.14","445.89","707.43K","-0.40%"
"2021년 07월 12일","450.00","446.20","450.00","444.50","1.32M","1.28%"
"2021년 07월 09일","444.30","438.61","445.13","435.45","611.01K","1.63%"
"2021년 07월 08일","437.17","433.53","439.04","430.28","666.67K","-1.28%"
"2021년 07월 07일","442.86","451.22","451.82","441.08","629.48K","-1.51%"
"2021년 07월 06일","449.67","451.66","453.12","443.94","667.31K","-0.17%"
"2021년 07월 02일","450.44","450.49","451.53","446.92","609.01K","0.61%"
"2021년 07월 01일","447.71","453.12","453.44","446.24","754.71K","-1.43%"
"2021년 06월 30일","454.22","453.41","455.06","451.74","439.06K","0.08%"
"2021년 06월 29일","453.84","449.78","454.50","448.30","582.91K","0.78%"
"2021년 06월 28일","450.31","442.53","452.18","442.53","883.30K","2.39%"
"2021년 06월 25일","439.81","442.88","443.59","438.57","447.74K","-0.27%"
"2021년 06월 24일","441.01","437.86","442.18","437.40","462.66K","1.70%"
"2021년 06월 23일","433.64","432.92","436.08","432.78","627.41K","0.42%"
"2021년 06월 22일","431.84","429.82","432.99","428.10","579.45K","0.47%"
"2021년 06월 21일","429.81","428.72","430.56","425.08","744.48K","0.37%"
"2021년 06월 18일","428.23","434.44","435.79","425.88","963.27K","-2.39%"
"2021년 06월 17일","438.73","432.75","441.87","432.75","1.29M","1.08%"
"2021년 06월 16일","434.05","439.53","440.75","430.64","1.20M","-0.94%"
"2021년 06월 15일","438.17","440.61","443.26","436.75","796.07K","-0.82%"
"2021년 06월 14일","441.79","436.17","441.79","434.26","1.22M","1.42%"
"2021년 06월 11일","435.60","434.71","435.60","432.26","588.41K","0.51%"
"2021년 06월 10일","433.41","430.00","434.99","428.30","721.69K","1.03%"
"2021년 06월 09일","429.00","432.55","433.67","429.00","869.25K","-0.49%"
"2021년 06월 08일","431.12","437.50","437.63","428.33","844.96K","-0.57%"
"2021년 06월 07일","433.60","434.89","435.45","431.14","792.13K","-0.78%"
"2021년 06월 04일","437.00","430.30","437.87","430.30","940.65K","2.43%"
