"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 09일","15.83","15.67","15.91","15.55","110.91K","2.59%"
"2022년 03월 08일","15.43","15.22","15.65","15.10","148.02K","0.52%"
"2022년 03월 07일","15.35","15.52","15.71","15.31","98.67K","-2.48%"
"2022년 03월 04일","15.74","15.84","16.14","15.59","86.83K","-2.54%"
"2022년 03월 03일","16.15","16.55","16.63","16.06","360.48K","-1.88%"
"2022년 03월 02일","16.46","16.49","16.68","16.23","101.40K","0.49%"
"2022년 03월 01일","16.38","16.77","16.77","16.26","109.39K","-2.85%"
"2022년 02월 28일","16.86","16.37","16.95","16.28","120.16K","1.63%"
"2022년 02월 25일","16.59","16.26","16.59","16.11","177.83K","3.82%"
"2022년 02월 24일","15.98","15.21","15.98","15.01","220.83K","0.31%"
"2022년 02월 23일","15.93","16.32","16.43","15.90","135.71K","-0.69%"
"2022년 02월 22일","16.04","16.25","16.43","15.90","167.29K","-2.79%"
"2022년 02월 18일","16.50","16.77","16.83","16.40","364.89K","-1.37%"
"2022년 02월 17일","16.73","17.09","17.09","16.71","63.63K","-2.16%"
"2022년 02월 16일","17.10","16.94","17.14","16.86","66.68K","0.77%"
"2022년 02월 15일","16.97","16.59","16.98","16.59","115.31K","4.24%"
"2022년 02월 14일","16.28","16.14","16.48","16.14","81.24K","-0.31%"
"2022년 02월 11일","16.33","16.74","16.79","16.08","109.76K","-2.80%"
"2022년 02월 10일","16.80","16.76","17.19","16.76","78.34K","-1.64%"
"2022년 02월 09일","17.08","16.75","17.08","16.75","156.33K","2.64%"
"2022년 02월 08일","16.64","16.42","16.65","16.25","100.46K","0.24%"
"2022년 02월 07일","16.60","16.61","16.70","16.52","52.72K","-0.30%"
"2022년 02월 04일","16.65","16.31","16.70","16.30","64.78K","1.96%"
"2022년 02월 03일","16.33","16.47","16.58","16.32","59.85K","-1.69%"
"2022년 02월 02일","16.61","16.89","16.91","16.52","248.22K","-1.13%"
"2022년 02월 01일","16.80","16.59","16.81","16.47","167.18K","1.82%"
"2022년 01월 31일","16.50","15.98","16.50","15.88","130.13K","4.50%"
"2022년 01월 28일","15.79","15.82","15.82","15.43","145.30K","-0.63%"
"2022년 01월 27일","15.89","16.46","16.49","15.84","174.26K","-3.40%"
"2022년 01월 26일","16.45","16.80","16.97","16.41","121.33K","-0.30%"
"2022년 01월 25일","16.50","16.44","16.68","16.30","113.28K","-1.02%"
"2022년 01월 24일","16.67","16.65","16.71","15.90","422.65K","-1.83%"
"2022년 01월 21일","16.98","17.37","17.45","16.95","154.07K","-2.92%"
"2022년 01월 20일","17.49","17.76","17.98","17.46","108.17K","0.34%"
"2022년 01월 19일","17.43","17.72","17.82","17.43","121.54K","-1.58%"
"2022년 01월 18일","17.71","17.90","17.96","17.68","136.68K","-1.88%"
"2022년 01월 14일","18.05","17.82","18.08","17.77","77.83K","0.61%"
"2022년 01월 13일","17.94","18.36","18.38","17.92","159.66K","-1.86%"
"2022년 01월 12일","18.28","18.20","18.33","18.04","189.15K","3.39%"
"2022년 01월 11일","17.68","17.26","17.68","17.21","261.53K","2.91%"
