"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 09일","37.08","37.11","37.42","36.66","62.11K","3.37%"
"2022년 03월 08일","35.87","35.39","36.78","35.00","89.28K","1.13%"
"2022년 03월 07일","35.47","37.02","37.08","35.40","205.71K","-4.62%"
"2022년 03월 04일","37.19","37.84","37.91","37.01","63.21K","-3.45%"
"2022년 03월 03일","38.52","39.70","39.70","38.45","23.84K","-3.24%"
"2022년 03월 02일","39.81","39.63","39.96","39.16","41.43K","0.48%"
"2022년 03월 01일","39.62","40.70","40.70","39.35","58.69K","-3.55%"
"2022년 02월 28일","41.08","40.30","41.38","40.19","70.30K","1.28%"
"2022년 02월 25일","40.56","40.00","40.56","39.40","59.75K","2.79%"
"2022년 02월 24일","39.46","37.34","39.60","37.17","245.06K","0.42%"
"2022년 02월 23일","39.29","40.40","40.66","39.28","40.42K","-0.90%"
"2022년 02월 22일","39.65","40.13","40.40","39.28","78.14K","-2.41%"
"2022년 02월 18일","40.63","41.21","41.26","40.46","29.97K","-1.24%"
"2022년 02월 17일","41.14","42.01","42.01","41.08","49.67K","-2.35%"
"2022년 02월 16일","42.13","41.86","42.24","41.51","79.34K","0.53%"
"2022년 02월 15일","41.91","40.99","41.99","40.99","88.95K","4.31%"
"2022년 02월 14일","40.18","39.86","40.51","39.85","45.90K","0.40%"
"2022년 02월 11일","40.02","41.21","41.33","39.76","96.26K","-3.47%"
"2022년 02월 10일","41.46","41.43","42.30","41.28","46.94K","-1.96%"
"2022년 02월 09일","42.29","41.77","42.32","41.77","45.30K","2.87%"
"2022년 02월 08일","41.11","40.77","41.11","40.21","38.96K","-0.63%"
"2022년 02월 07일","41.37","41.57","41.70","41.03","46.01K","-0.43%"
"2022년 02월 04일","41.55","41.28","41.73","40.88","27.84K","0.12%"
"2022년 02월 03일","41.50","41.59","42.35","41.38","36.73K","-2.28%"
"2022년 02월 02일","42.47","43.03","43.03","42.13","34.60K","-0.38%"
"2022년 02월 01일","42.63","42.58","42.78","41.68","46.14K","0.90%"
"2022년 01월 31일","42.25","40.36","42.25","40.36","84.51K","5.05%"
"2022년 01월 28일","40.22","40.12","40.32","39.29","48.91K","0.07%"
