"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","25.54","26.01","26.20","25.33","370.09K","-3.88%"
"2022년 03월 03일","26.57","27.10","27.10","26.32","459.37K","-1.70%"
"2022년 03월 02일","27.03","26.83","27.10","26.53","428.76K","1.31%"
"2022년 03월 01일","26.68","27.21","27.34","26.43","602.36K","-2.73%"
"2022년 02월 28일","27.43","27.06","27.72","27.01","286.85K","-0.11%"
"2022년 02월 25일","27.46","27.10","27.50","26.73","420.17K","2.08%"
"2022년 02월 24일","26.90","25.16","26.90","25.11","639.05K","1.20%"
"2022년 02월 23일","26.58","27.45","27.56","26.53","356.42K","-1.92%"
"2022년 02월 22일","27.10","27.31","27.73","26.79","497.44K","-2.52%"
"2022년 02월 18일","27.80","28.26","28.28","27.62","417.96K","-1.66%"
"2022년 02월 17일","28.27","28.63","28.77","28.19","837.87K","-2.65%"
"2022년 02월 16일","29.04","28.80","29.15","28.63","208.35K","0.48%"
"2022년 02월 15일","28.90","28.25","28.95","28.17","346.37K","4.45%"
"2022년 02월 14일","27.67","27.69","27.98","27.37","220.62K","-0.14%"
"2022년 02월 11일","27.71","28.63","28.72","27.62","257.81K","-3.25%"
"2022년 02월 10일","28.64","28.63","29.42","28.50","354.05K","-1.88%"
"2022년 02월 09일","29.19","28.85","29.21","28.75","714.94K","3.14%"
"2022년 02월 08일","28.30","27.78","28.37","27.66","601.99K","1.87%"
"2022년 02월 07일","27.78","27.98","28.12","27.68","287.59K","-0.79%"
"2022년 02월 04일","28.00","27.59","28.05","27.35","315.67K","0.94%"
"2022년 02월 03일","27.74","27.93","28.40","27.69","467.34K","-3.14%"
"2022년 02월 02일","28.64","28.88","28.97","28.33","319.41K","-0.03%"
"2022년 02월 01일","28.65","28.45","28.65","27.96","357.20K","1.45%"
"2022년 01월 31일","28.24","27.25","28.27","27.19","468.91K","4.21%"
"2022년 01월 28일","27.10","26.78","27.11","26.29","468.37K","1.08%"
"2022년 01월 27일","26.81","27.86","27.90","26.75","466.24K","-2.86%"
"2022년 01월 26일","27.60","28.20","28.50","27.31","518.87K","0.15%"
"2022년 01월 25일","27.56","27.66","27.98","27.20","1.75M","-2.27%"
"2022년 01월 24일","28.20","27.39","28.20","26.63","1.02M","-0.46%"
"2022년 01월 21일","28.33","28.79","29.13","28.31","620.81K","-2.58%"
"2022년 01월 20일","29.08","29.71","30.09","28.98","1.17M","-1.79%"
"2022년 01월 19일","29.61","30.50","30.52","29.56","612.58K","-2.34%"
"2022년 01월 18일","30.32","30.68","30.79","30.25","566.86K","-2.48%"
"2022년 01월 14일","31.09","30.75","31.10","30.64","322.36K","0.39%"
"2022년 01월 13일","30.97","31.47","31.69","30.86","402.03K","-0.74%"
"2022년 01월 12일","31.20","31.29","31.43","30.91","631.62K","0.97%"
"2022년 01월 11일","30.90","30.44","30.96","30.26","1.47M","1.58%"
"2022년 01월 10일","30.42","30.08","30.42","29.71","462.50K","-0.49%"
"2022년 01월 07일","30.57","30.83","31.07","30.36","605.87K","-0.59%"
"2022년 01월 06일","30.75","30.75","30.95","30.30","453.47K","-0.23%"
"2022년 01월 05일","30.82","31.52","31.71","30.66","827.16K","-2.31%"
"2022년 01월 04일","31.55","31.53","31.67","31.08","830.78K","1.09%"
"2022년 01월 03일","31.21","30.89","31.24","30.80","1.13M","2.23%"
"2021년 12월 31일","30.53","30.50","30.74","30.50","160.51K","-0.13%"
"2021년 12월 30일","30.57","30.62","30.87","30.54","284.21K","-0.13%"
"2021년 12월 29일","30.61","30.64","30.70","30.38","199.00K","0.07%"
"2021년 12월 28일","30.59","30.74","30.84","30.53","710.45K","-0.62%"
"2021년 12월 27일","30.78","30.41","30.80","30.34","300.10K","1.55%"
"2021년 12월 23일","30.31","29.90","30.39","29.86","266.25K","1.61%"
"2021년 12월 22일","29.83","29.48","29.88","29.42","270.15K","1.39%"
"2021년 12월 21일","29.42","29.00","29.46","28.86","382.32K","2.76%"
"2021년 12월 20일","28.63","28.78","28.86","28.31","794.01K","-2.42%"
"2021년 12월 17일","29.34","29.26","29.70","29.02","480.55K","-0.71%"
"2021년 12월 16일","29.55","30.57","30.60","29.41","1.01M","-2.06%"
"2021년 12월 15일","30.17","29.61","30.20","29.15","309.41K","1.79%"
"2021년 12월 14일","29.64","29.54","29.88","29.37","351.93K","-0.97%"
"2021년 12월 13일","29.93","30.57","30.58","29.85","421.42K","-2.16%"
"2021년 12월 10일","30.59","30.63","30.74","30.29","335.78K","0.72%"
"2021년 12월 09일","30.37","30.84","30.94","30.35","639.03K","-1.94%"
"2021년 12월 08일","30.97","31.02","31.06","30.64","1.41M","0.19%"
"2021년 12월 07일","30.91","30.67","31.06","30.60","630.74K","3.10%"
"2021년 12월 06일","29.98","29.57","30.15","29.19","876.23K","0.87%"
"2021년 12월 03일","29.72","30.53","30.54","29.44","753.64K","-2.30%"
"2021년 12월 02일","30.42","30.10","30.52","29.96","780.45K","1.00%"
"2021년 12월 01일","30.12","31.18","31.39","30.10","946.38K","-1.21%"
"2021년 11월 30일","30.49","30.81","30.97","30.10","784.09K","-1.36%"
