"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 09일","25.01","24.98","25.04","24.95","192.48K","0.60%"
"2022년 03월 08일","24.86","24.84","24.90","24.82","155.47K","0.69%"
"2022년 03월 07일","24.69","24.72","24.73","24.62","142.46K","0.28%"
"2022년 03월 04일","24.62","24.64","24.66","24.54","337.71K","-0.97%"
"2022년 03월 03일","24.86","24.89","24.93","24.81","144.64K","-0.40%"
"2022년 03월 02일","24.96","24.72","24.96","24.71","175.69K","1.42%"
"2022년 03월 01일","24.61","24.72","24.73","24.53","256.82K","-1.09%"
"2022년 02월 28일","24.88","24.97","24.97","24.85","318.17K","-0.96%"
"2022년 02월 25일","25.12","25.18","25.23","25.12","77.57K","0.00%"
"2022년 02월 24일","25.13","25.00","25.16","24.98","163.15K","-0.30%"
"2022년 02월 23일","25.20","25.14","25.21","25.14","278.95K","0.64%"
"2022년 02월 22일","25.04","25.10","25.14","25.04","52.72K","-0.12%"
"2022년 02월 18일","25.07","25.09","25.11","25.07","86.25K","-0.28%"
"2022년 02월 17일","25.14","25.23","25.23","25.13","129.38K","-0.55%"
"2022년 02월 16일","25.28","25.29","25.35","25.27","126.96K","-0.20%"
"2022년 02월 15일","25.33","25.33","25.34","25.29","67.55K","0.32%"
"2022년 02월 14일","25.25","25.22","25.30","25.15","98.31K","0.44%"
"2022년 02월 11일","25.14","25.26","25.37","25.08","368.17K","-0.91%"
"2022년 02월 10일","25.37","25.21","25.38","25.18","248.20K","1.02%"
"2022년 02월 09일","25.11","25.11","25.13","25.06","130.34K","-0.16%"
"2022년 02월 08일","25.15","25.13","25.17","25.13","59.23K","0.37%"
"2022년 02월 07일","25.06","25.08","25.11","25.06","71.70K","-0.16%"
"2022년 02월 04일","25.10","25.04","25.11","25.02","82.69K","0.88%"
"2022년 02월 03일","24.88","24.90","24.93","24.88","48.84K","0.28%"
"2022년 02월 02일","24.81","24.83","24.83","24.74","105.28K","-0.40%"
"2022년 02월 01일","24.91","24.81","24.91","24.80","316.50K","0.36%"
"2022년 01월 31일","24.82","24.85","24.87","24.79","113.50K","0.00%"
"2022년 01월 28일","24.82","24.95","24.95","24.80","60.44K","-0.26%"
"2022년 01월 27일","24.88","24.92","24.92","24.83","93.25K","-0.36%"
"2022년 01월 26일","24.97","24.80","24.98","24.79","215.83K","0.69%"
"2022년 01월 25일","24.80","24.74","24.81","24.69","111.68K","0.16%"
"2022년 01월 24일","24.76","24.71","24.77","24.64","131.42K","0.08%"
"2022년 01월 21일","24.74","24.75","24.80","24.71","216.85K","-0.56%"
"2022년 01월 20일","24.88","24.89","24.94","24.88","111.26K","-0.24%"
"2022년 01월 19일","24.94","25.00","25.00","24.89","251.09K","-0.32%"
"2022년 01월 18일","25.02","24.92","25.02","24.90","264.73K","0.92%"
"2022년 01월 14일","24.79","24.72","24.81","24.72","211.81K","0.50%"
