,date,PSI종가,PSI거래량,SOXX종가,SOXX거래량,SOXL종가,SOXL거래량
0,2022-03-04,122.11,37.09,449.36,1480.0,34.77,47010.0
1,2022-03-03,127.0,18.19,461.61,1360.0,37.55,45210.0
2,2022-03-02,129.92,22.03,471.5,947.15,40.12,41310.0
3,2022-03-01,125.2,31.62,456.97,1400.0,36.58,46390.0
4,2022-02-28,130.16,81.54,474.16,1450.0,41.01,43100.0
5,2022-02-25,131.13,55.76,477.06,2350.0,41.78,40950.0
6,2022-02-24,129.15,61.15,469.24,2870.0,39.94,67840.0
7,2022-02-23,123.31,43.55,452.68,2170.0,35.91,52270.0
8,2022-02-22,126.58,47.52,463.73,2760.0,38.61,49470.0
9,2022-02-18,128.41,34.94,466.57,1960.0,39.63,46900.0
10,2022-02-17,130.5,30.83,471.84,2000.0,40.87,41540.0
11,2022-02-16,135.63,20.15,490.25,889.39,46.1,34950.0
12,2022-02-15,135.0,27.63,490.09,1630.0,46.01,39850.0
13,2022-02-14,127.34,54.2,464.46,1890.0,39.59,41060.0
14,2022-02-11,127.03,41.16,464.02,2630.0,39.54,51210.0
15,2022-02-10,133.69,34.56,488.9,1530.0,46.42,50990.0
16,2022-02-09,138.08,34.91,504.63,1680.0,51.02,35130.0
17,2022-02-08,133.27,40.73,488.6,980.4,46.6,33690.0
18,2022-02-07,129.54,33.13,476.55,1160.0,43.41,28280.0
19,2022-02-04,129.58,35.16,476.82,1690.0,43.46,30580.0
20,2022-02-03,128.29,72.6,474.1,2110.0,42.63,32240.000000000004
21,2022-02-02,134.71,169.3,495.67,1730.0,49.34,39960.0
22,2022-02-01,132.22,53.82,483.46,1340.0,45.91,37000.0
23,2022-01-31,131.09,68.59,479.47,2610.0,44.58,39100.0
24,2022-01-28,123.33,83.69,455.03,2390.0,38.41,43950.0
25,2022-01-27,120.47,170.88,446.47,2780.0,36.36,49300.0
26,2022-01-26,126.63,115.88,467.27,2820.0,42.12,45880.0
