,date,리튬가격,리튬변동률,코발트가격,코발트변동률,희토류가격,희토류변동률
0,2015-01-02,37.2,-1.59,31670.0,1.51,340.0,0.0
1,2015-01-09,38.5,3.49,31808.0,0.44,340.0,0.0
2,2015-01-16,38.8,0.78,31460.0,-1.09,340.0,0.0
3,2015-01-23,39.0,0.52,30950.0,-1.62,340.0,0.0
4,2015-01-30,39.0,0.0,30120.0,-2.68,340.0,0.0
5,2015-02-06,39.0,0.0,29875.0,-0.81,340.0,0.0
6,2015-02-13,39.1,0.26,28970.0,-3.03,340.0,0.0
7,2015-02-20,39.3,0.51,29010.0,0.14,340.0,0.0
8,2015-02-27,39.3,0.0,28720.0,-1.0,340.0,0.0
9,2015-03-06,40.3,2.54,27970.0,-2.61,367.5,8.09
10,2015-03-13,40.5,0.5,27860.0,-0.39,382.5,4.08
11,2015-03-20,40.5,0.0,27660.0,-0.72,382.5,0.0
12,2015-03-27,40.5,0.0,27480.0,-0.65,377.5,-1.31
13,2015-04-03,40.6,0.25,26925.0,-2.02,371.25,-1.66
14,2015-04-10,41.76,2.86,27825.0,3.34,362.5,-2.36
15,2015-04-17,42.3,1.29,28400.0,2.07,362.5,0.0
16,2015-04-24,42.5,0.47,29740.0,4.72,362.5,0.0
17,2015-05-01,42.5,0.0,30120.0,1.28,362.5,0.0
18,2015-05-08,42.5,0.0,30100.0,-0.07,285.0,-21.38
19,2015-05-15,42.5,0.0,30140.0,0.13,285.0,0.0
20,2015-05-22,42.5,0.0,30200.0,0.2,275.0,-3.51
21,2015-05-29,42.5,0.0,30637.5,1.45,270.0,-1.82
22,2015-06-05,43.8,3.06,30510.0,-0.42,270.0,0.0
23,2015-06-12,44.0,0.46,30210.0,-0.98,261.5,-3.15
24,2015-06-19,44.0,0.0,30600.0,1.29,256.5,-1.91
25,2015-06-26,43.63,-0.84,30740.0,0.46,256.5,0.0
26,2015-07-03,43.5,-0.3,32592.0,6.02,251.25,-2.05
27,2015-07-10,43.5,0.0,32120.0,-1.45,242.5,-3.48
28,2015-07-17,43.5,0.0,31270.0,-2.65,242.5,0.0
29,2015-07-24,43.68,0.41,31050.0,-0.7,242.5,0.0
30,2015-07-31,43.8,0.27,30750.0,-0.97,240.0,-1.03
31,2015-08-07,43.8,0.0,30520.0,-0.75,240.0,0.0
32,2015-08-14,43.8,0.0,30180.0,-1.11,235.0,-2.08
33,2015-08-21,43.84,0.09,28571.0,-5.33,230.0,-2.13
34,2015-08-28,43.98,0.32,28680.0,0.38,227.5,-1.09
35,2015-09-04,44.0,0.05,27875.0,-2.81,225.0,-1.1
36,2015-09-11,44.0,0.0,28200.0,1.17,225.0,0.0
37,2015-09-18,44.0,0.0,28000.0,-0.71,225.0,0.0
38,2015-09-25,44.0,0.0,28000.0,0.0,225.0,0.0
