,date,oli_price,oli_price_volatility,carbon_credits,carbon_credits_volatility
0,2022-03-07,124.26,-2.17,,
1,2022-03-06,127.02,9.8,,
2,2022-03-04,115.68,7.44,65.8,-1.81
3,2022-03-03,107.67,-2.65,67.01,-1.05
4,2022-03-02,110.6,6.95,67.72,-2.9
5,2022-03-01,103.41,8.03,69.74,-15.62
6,2022-02-28,95.72,4.51,82.65,-5.83
7,2022-02-25,91.59,-1.31,87.77,0.64
8,2022-02-24,92.81,0.77,87.21,-7.95
9,2022-02-23,92.1,-0.27,94.74,5.69
10,2022-02-22,92.35,-0.32,89.64,0.28
11,2022-02-21,92.65,1.12,89.39,0.36
12,2022-02-20,91.62,0.6,,
13,2022-02-18,91.07,-0.75,89.07,3.05
14,2022-02-17,91.76,-2.03,86.43,-3.73
15,2022-02-16,93.66,1.73,89.78,-0.59
16,2022-02-15,92.07,-3.55,90.31,-1.84
17,2022-02-14,95.46,2.53,92.0,-0.73
18,2022-02-11,93.1,3.58,92.68,1.63
19,2022-02-10,89.88,0.25,91.19,-0.71
20,2022-02-09,89.66,0.34,91.84,-4.14
21,2022-02-08,89.36,-2.15,95.81,-0.5
22,2022-02-07,91.32,-1.07,96.29,-0.15
23,2022-02-04,92.31,2.26,96.43,2.05
24,2022-02-03,90.27,2.28,94.49,0.12
25,2022-02-02,88.26,0.07,94.38,4.95
26,2022-02-01,88.2,0.06,89.93,0.23
27,2022-01-31,88.15,1.53,89.72,0.37
28,2022-01-28,86.82,0.24,89.39,-0.01
29,2022-01-27,86.61,-0.85,89.4,0.66
30,2022-01-26,87.35,2.04,88.81,1.61
31,2022-01-25,85.6,2.75,87.4,4.56
32,2022-01-24,83.31,-2.15,83.59,-1.1
33,2022-01-21,85.14,-2.03,84.52,-1.39
34,2022-01-20,86.9,-0.07,85.71,4.91
35,2022-01-19,86.96,1.79,81.7,-1.41
36,2022-01-18,85.43,2.08,82.87,3.45
37,2022-01-17,83.69,-0.17,80.11,-2.78
38,2022-01-16,83.83,0.01,,
39,2022-01-14,83.82,2.07,82.4,1.35
40,2022-01-13,82.12,-0.63,81.3,0.98
41,2022-01-12,82.64,1.75,80.51,-2.08
42,2022-01-11,81.22,3.82,82.22,0.81
43,2022-01-10,78.23,-0.85,81.56,-4.61
44,2022-01-07,78.9,-0.7,85.5,-1.94
45,2022-01-06,79.46,2.07,87.19,-0.92
46,2022-01-05,77.85,1.12,88.0,2.09
47,2022-01-04,76.99,1.2,86.2,2.85
48,2022-01-03,76.08,1.16,83.81,3.6
49,2021-12-31,75.21,-2.31,80.9,1.06
50,2021-12-30,76.99,0.56,80.05,-0.24
51,2021-12-29,76.56,0.76,80.24,1.39
52,2021-12-28,75.98,0.54,79.14,3.02
53,2021-12-27,75.57,2.41,76.82,1.27
54,2021-12-23,73.79,1.42,74.86,-3.43
