"날짜","종가","오픈","고가","저가","변동 %"
"2022년 03월 07일","1.0872","1.0874","1.0885","1.0823","-0.01%"
"2022년 03월 06일","1.0874","1.0931","1.0931","1.0864","-0.48%"
"2022년 03월 04일","1.0926","1.1068","1.1069","1.0886","-1.25%"
"2022년 03월 03일","1.1064","1.1118","1.1125","1.1033","-0.51%"
"2022년 03월 02일","1.1121","1.1127","1.1147","1.1057","-0.04%"
"2022년 03월 01일","1.1126","1.1218","1.1234","1.1090","-0.83%"
"2022년 02월 28일","1.1219","1.1179","1.1247","1.1122","-0.43%"
"2022년 02월 25일","1.1267","1.1192","1.1275","1.1165","0.68%"
"2022년 02월 24일","1.1191","1.1313","1.1314","1.1106","-1.04%"
"2022년 02월 23일","1.1309","1.1327","1.1359","1.1300","-0.14%"
"2022년 02월 22일","1.1325","1.1312","1.1367","1.1287","0.13%"
"2022년 02월 21일","1.1310","1.1315","1.1391","1.1306","-0.10%"
"2022년 02월 18일","1.1321","1.1362","1.1378","1.1314","-0.34%"
"2022년 02월 17일","1.1360","1.1374","1.1386","1.1322","-0.11%"
"2022년 02월 16일","1.1373","1.1360","1.1396","1.1344","0.15%"
"2022년 02월 15일","1.1356","1.1307","1.1369","1.1301","0.45%"
"2022년 02월 14일","1.1305","1.1344","1.1370","1.1279","-0.39%"
"2022년 02월 11일","1.1349","1.1428","1.1431","1.1329","-0.68%"
"2022년 02월 10일","1.1427","1.1429","1.1496","1.1374","0.04%"
"2022년 02월 09일","1.1422","1.1416","1.1449","1.1402","0.07%"
"2022년 02월 08일","1.1414","1.1443","1.1450","1.1395","-0.24%"
"2022년 02월 07일","1.1442","1.1468","1.1469","1.1415","-0.06%"
"2022년 02월 04일","1.1449","1.1439","1.1485","1.1411","0.10%"
"2022년 02월 03일","1.1438","1.1306","1.1452","1.1267","1.19%"
"2022년 02월 02일","1.1303","1.1270","1.1331","1.1266","0.30%"
"2022년 02월 01일","1.1269","1.1234","1.1279","1.1221","0.32%"
"2022년 01월 31일","1.1233","1.1147","1.1249","1.1138","0.81%"
"2022년 01월 28일","1.1143","1.1146","1.1174","1.1121","0.00%"
"2022년 01월 27일","1.1143","1.1240","1.1244","1.1132","-0.84%"
"2022년 01월 26일","1.1237","1.1301","1.1312","1.1235","-0.55%"
