,date,DRIV종가,DRIV거래량,ACDC종가,ACDC거래량,kars,kars_거래량,kars_volatility,batt,batt_거래량,batt_volatility
0,2022-03-04,25.54,370.09,0.075,1080.0,37.19,63.21,-3.45,15.74,86.83,-2.54
1,2022-03-03,26.57,459.37,0.075,685.23,38.52,23.84,-3.24,16.15,360.48,-1.88
2,2022-03-02,27.03,428.76,0.08,1690.0,39.81,41.43,0.48,16.46,101.4,0.49
3,2022-03-01,26.68,602.36,0.085,471.06,39.62,58.69,-3.55,16.38,109.39,-2.85
4,2022-02-28,27.43,286.85,0.085,888.48,41.08,70.3,1.28,16.86,120.16,1.63
5,2022-02-25,27.46,420.17,0.09,638.01,40.56,59.75,2.79,16.59,177.83,3.82
6,2022-02-24,26.9,639.05,0.09,2950.0,39.46,245.06,0.42,15.98,220.83,0.31
7,2022-02-23,26.58,356.42,0.09,1670.0,39.29,40.42,-0.9,15.93,135.71,-0.69
8,2022-02-22,27.1,497.44,0.095,2550.0,39.65,78.14,-2.41,16.04,167.29,-2.79
9,2022-02-18,27.8,417.96,0.085,2090.0,40.63,29.97,-1.24,16.5,364.89,-1.37
10,2022-02-17,28.27,837.87,0.09,625.96,41.14,49.67,-2.35,16.73,63.63,-2.16
11,2022-02-16,29.04,208.35,0.09,319.7,42.13,79.34,0.53,17.1,66.68,0.77
12,2022-02-15,28.9,346.37,0.095,958.15,41.91,88.95,4.31,16.97,115.31,4.24
13,2022-02-14,27.67,220.62,0.09,943.93,40.18,45.9,0.4,16.28,81.24,-0.31
14,2022-02-11,27.71,257.81,0.09,685.06,40.02,96.26,-3.47,16.33,109.76,-2.8
15,2022-02-10,28.64,354.05,0.093,585.46,41.46,46.94,-1.96,16.8,78.34,-1.64
16,2022-02-09,29.19,714.94,0.095,317.42,42.29,45.3,2.87,17.08,156.33,2.64
17,2022-02-08,28.3,601.99,0.095,368.08,41.11,38.96,-0.63,16.64,100.46,0.24
18,2022-02-07,27.78,287.59,0.095,1260.0,41.37,46.01,-0.43,16.6,52.72,-0.3
19,2022-02-04,28.0,315.67,0.095,1030.0,41.55,27.84,0.12,16.65,64.78,1.96
20,2022-02-03,27.74,467.34,0.095,2029.9999999999998,41.5,36.73,-2.28,16.33,59.85,-1.69
21,2022-02-02,28.64,319.41,0.1,2830.0,42.47,34.6,-0.38,16.61,248.22,-1.13
22,2022-02-01,28.65,357.2,0.1,2170.0,42.63,46.14,0.9,16.8,167.18,1.82
23,2022-01-31,28.24,468.91,0.1,3560.0,42.25,84.51,5.05,16.5,130.13,4.5
24,2022-01-28,27.1,468.37,0.09,910.66,40.22,48.91,0.07,15.79,145.3,-0.63
25,2022-01-27,26.81,466.24,0.085,1880.0,40.19,68.01,-4.67,15.89,174.26,-3.4
26,2022-01-26,27.6,518.87,0.09,3800.0,42.16,56.98,0.93,16.45,121.33,-0.3
27,2022-01-25,27.56,1750.0,0.09,4470.0,41.77,81.09,-2.32,16.5,113.28,-1.02
28,2022-01-24,28.2,1020.0,0.075,5570.0,42.76,136.13,-1.68,16.67,422.65,-1.83
29,2022-01-21,28.33,620.81,0.09,4760.0,43.49,97.98,-1.92,16.98,154.07,-2.92
30,2022-01-20,29.08,1170.0,0.1,10870.0,44.34,313.6,-0.83,17.49,108.17,0.34
31,2022-01-19,29.61,612.58,0.09,3050.0,44.71,91.2,-3.31,17.43,121.54,-1.58
32,2022-01-18,30.32,566.86,0.1,7440.0,46.24,66.08,-1.96,17.71,136.68,-1.88
33,2022-01-14,31.09,322.36,0.105,981.6,47.16,29.62,0.5,18.05,77.83,0.61
34,2022-01-13,30.97,402.03,0.105,5690.0,46.93,129.1,-1.55,17.94,159.66,-1.86
35,2022-01-12,31.2,631.62,0.105,8850.0,47.67,135.36,2.45,18.28,189.15,3.39
36,2022-01-11,30.9,1470.0,0.105,4960.0,46.53,85.42,2.02,17.68,261.53,2.91
37,2022-01-10,30.42,462.5,0.105,4400.0,45.61,85.47,-1.38,17.18,219.86,-1.6
38,2022-01-07,30.57,605.87,0.12,3720.0,46.25,80.32,-0.39,17.46,98.46,0.29
39,2022-01-06,30.75,453.47,0.125,3590.0,46.43,82.92,-0.09,17.41,206.52,-0.57
40,2022-01-05,30.82,827.16,0.14,2580.0,46.47,91.9,-3.13,17.51,183.88,-3.58
41,2022-01-04,31.55,830.78,0.14,1740.0,47.97,215.19,0.36,18.16,168.41,-0.77
42,2022-01-03,31.21,1130.0,,,47.8,121.94,2.11,18.3,224.38,1.67
43,2021-12-31,30.53,160.51,0.14,3420.0,46.81,88.26,-0.23,18.0,174.06,-0.44
44,2021-12-30,30.57,284.21,0.145,3610.0,46.92,82.14,1.67,18.08,138.93,2.03
45,2021-12-29,30.61,199.0,0.155,2750.0,46.15,214.87,-7.07,17.72,93.19,-2.8
46,2021-12-28,30.59,710.45,,,49.66,81.62,-0.24,18.23,159.14,-0.27
47,2021-12-27,30.78,300.1,,,49.78,114.11,-0.16,18.28,103.46,-0.71
48,2021-12-23,30.31,266.25,0.15,1940.0,49.86,66.22,1.05,18.41,64.75,1.38
49,2021-12-22,29.83,270.15,0.155,2480.0,49.34,53.41,1.42,18.16,101.36,1.62
50,2021-12-21,29.42,382.32,0.15,3010.0,48.65,70.23,2.59,17.87,78.62,2.47
51,2021-12-20,28.63,794.01,0.165,3850.0,47.42,107.18,-4.11,17.44,180.63,-4.28
52,2021-12-17,29.34,480.55,0.17,3180.0,49.45,128.64,-0.88,18.22,101.52,-0.22
53,2021-12-16,29.55,1010.0,0.185,2600.0,49.89,107.63,-1.64,18.26,122.08,-1.08
54,2021-12-15,30.17,309.41,0.19,2240.0,50.72,85.22,1.26,18.46,141.67,0.54
55,2021-12-14,29.64,351.93,0.2,4890.0,50.09,90.25,-1.8,18.36,166.69,-1.4
56,2021-12-13,29.93,421.42,0.2,6370.0,51.01,109.14,-2.28,18.62,103.99,-1.69
57,2021-12-10,30.59,335.78,0.205,7330.0,52.2,47.39,1.58,18.94,86.05,0.48
58,2021-12-09,30.37,639.03,0.185,6700.0,51.39,74.37,-2.76,18.85,107.07,-2.89
59,2021-12-08,30.97,1410.0,0.135,1030.0,52.85,156.5,1.15,19.41,217.17,2.37
60,2021-12-07,30.91,630.74,0.14,1670.0,52.25,214.92,2.05,18.96,173.87,1.39
61,2021-12-06,29.98,876.23,0.145,3360.0,51.2,77.27,0.14,18.7,154.0,0.38
62,2021-12-03,29.72,753.64,0.15,2590.0,51.13,140.27,-3.14,18.63,262.98,-3.92
63,2021-12-02,30.42,780.45,0.165,1490.0,52.79,226.87,0.42,19.39,135.88,0.41
64,2021-12-01,30.12,946.38,0.175,2620.0,52.57,130.64,-1.09,19.31,281.97,-2.18
65,2021-11-30,30.49,784.09,0.175,1260.0,53.15,55.3,-0.78,19.74,137.98,-0.8
66,2021-11-29,30.91,897.25,0.185,1190.0,53.57,148.71,1.52,19.9,138.8,2.21
67,2021-11-26,30.6,648.62,0.19,1540.0,52.77,63.3,-2.6,19.47,567.67,-2.8
68,2021-11-24,31.61,612.98,0.185,939.81,54.18,102.4,-0.24,20.03,87.6,0.2
69,2021-11-23,31.63,596.72,0.19,2020.0,54.31,113.34,-1.33,19.99,169.91,-0.65
70,2021-11-22,31.76,815.9,0.19,641.65,55.04,132.26,1.81,20.12,249.89,0.8
71,2021-11-19,31.75,631.35,0.185,508.24,54.06,145.33,0.67,19.96,193.35,1.32
72,2021-11-18,31.71,1170.0,0.185,970.91,53.7,85.56,-0.61,19.7,210.23,-1.3
73,2021-11-17,31.73,1120.0,0.2,739.21,54.03,107.48,0.41,19.96,288.56,-0.25
74,2021-11-16,31.93,687.71,0.205,618.64,53.81,100.12,0.79,20.01,203.64,0.3
75,2021-11-15,31.62,905.6,0.21,1800.0,53.39,102.44,-1.91,19.95,174.57,-1.48
76,2021-11-12,31.88,785.39,0.19,436.32,54.43,116.63,0.29,20.25,245.2,-0.25
77,2021-11-11,31.59,669.02,0.2,968.55,54.27,252.37,2.36,20.3,424.23,4.0
78,2021-11-10,31.07,957.37,0.195,1230.0,53.02,111.95,-1.56,19.52,338.4,-2.64
79,2021-11-09,31.7,704.09,0.2,1420.0,53.86,114.68,-2.23,20.05,464.9,-2.48
80,2021-11-08,32.11,1010.0,0.205,917.46,55.09,123.01,1.85,20.56,681.62,2.95
81,2021-11-05,31.78,536.55,0.205,476.62,54.09,86.48,-0.57,19.97,168.21,-0.99
82,2021-11-04,31.67,782.58,0.2,1260.0,54.4,86.06,1.49,20.17,203.75,1.51
83,2021-11-03,31.25,460.27,0.205,1980.0,53.6,74.97,0.54,19.87,142.7,0.51
84,2021-11-02,30.86,398.96,0.21,276.83,53.31,79.8,-0.26,19.77,251.66,-1.45
85,2021-11-01,30.79,609.85,0.215,867.01,53.45,100.34,1.98,20.06,204.76,1.98
