,date,nasdaq,nasdaq_거래량,nasdaq_volatility,ssec,ssec_거래량,ssec_volatility,dollar,dollar_volatility
0,2022-03-04,13313.44,1040000.0,-1.66,3447.65,39350000.0,-0.96,98.65,0.88
1,2022-03-03,13537.94,1030000.0,-1.56,3481.11,41260000.0,-0.09,97.79,0.41
2,2022-03-02,13752.02,1030000.0,1.62,3484.19,32939999.999999996,-0.13,97.39,-0.02
3,2022-03-01,13532.46,1240000.0,-1.59,3488.83,32600000.0,0.77,97.41,0.73
4,2022-02-28,13751.4,1390000.0,0.41,3462.31,34580000.0,0.32,96.71,0.1
5,2022-02-25,13694.62,978450.0,1.64,3451.41,37750000.0,0.63,96.61,-0.54
6,2022-02-24,13473.58,1380000.0,3.34,3429.96,48840000.0,-1.7,97.14,0.98
7,2022-02-23,13037.49,944400.0,-2.57,3489.15,32560000.000000004,0.93,96.19,0.17
8,2022-02-22,13381.52,1020000.0,-1.23,3457.15,32630000.000000004,-0.96,96.03,-0.06
9,2022-02-18,13548.07,1020000.0,-1.23,3490.76,29510000.0,0.66,96.04,0.25
10,2022-02-17,13716.72,922820.0,-2.88,3468.04,29730000.0,0.06,95.8,0.1
11,2022-02-16,14124.09,838990.0,-0.11,3465.83,27500000.0,0.57,95.7,-0.3
12,2022-02-15,14139.76,903090.0,2.53,3446.09,27560000.0,0.5,95.99,-0.4
13,2022-02-14,13790.92,936800.0,-0.0,3428.88,31530000.0,-0.98,96.37,0.3
14,2022-02-11,13791.15,1080000.0,-2.78,3462.95,36140000.0,-0.66,96.08,0.55
15,2022-02-10,14185.64,1060000.0,-2.1,3485.91,35570000.0,0.17,95.55,0.06
16,2022-02-09,14490.37,935010.0,2.08,3479.95,35020000.0,0.79,95.49,-0.16
17,2022-02-08,14194.46,865500.0,1.28,3452.63,36610000.0,0.67,95.64,0.26
18,2022-02-07,14015.67,858020.0,-0.58,3429.58,32049999.999999996,2.03,95.4,-0.09
19,2022-02-04,14098.01,862970.0,1.58,,,,95.49,0.11
20,2022-02-03,13878.82,945510.0,-3.74,,,,95.38,-0.58
21,2022-02-02,14417.55,1000000.0,0.5,,,,95.94,-0.47
22,2022-02-01,14346.0,962000.0,0.75,,,,96.39,-0.16
23,2022-01-31,14239.88,1240000.0,3.41,,,,96.54,-0.75
24,2022-01-28,13770.57,1060000.0,3.13,3361.44,29090000.0,-0.97,97.27,0.02
25,2022-01-27,13352.78,1070000.0,-1.4,3394.25,28060000.0,-1.78,97.25,0.9
26,2022-01-26,13542.12,1180000.0,0.02,3455.67,27510000.0,0.66,96.39,0.46
27,2022-01-25,13539.29,1040000.0,-2.28,3433.06,32740000.000000004,-2.58,95.95,0.03
28,2022-01-24,13855.13,1550000.0,0.63,3524.1,28030000.0,0.04,95.92,0.29
29,2022-01-21,13768.92,1320000.0,-2.72,3522.57,32650000.0,-0.91,95.64,-0.1
30,2022-01-20,14154.02,1020000.0,-1.3,3555.06,37950000.0,-0.09,95.74,0.24
31,2022-01-19,14340.25,935060.0,-1.15,3558.18,33320000.0,-0.33,95.51,-0.23
32,2022-01-18,14506.9,1060000.0,-2.6,3569.91,37710000.0,0.8,95.73,0.5
33,2022-01-14,14893.75,872560.0,0.59,3521.26,37690000.0,-0.96,95.17,0.4
34,2022-01-13,14806.81,852150.0,-2.51,3555.26,36940000.0,-1.17,94.79,-0.13
35,2022-01-12,15188.39,840020.0,0.23,3597.43,34310000.0,0.84,94.92,-0.74
36,2022-01-11,15153.45,863020.0,1.41,3567.44,35980000.0,-0.73,95.62,-0.38
37,2022-01-10,14942.83,1090000.0,0.05,3593.52,35620000.0,0.39,95.99,0.28
38,2022-01-07,14935.9,852530.0,-0.96,3579.54,43630000.0,-0.18,95.72,-0.62
39,2022-01-06,15080.87,951120.0,-0.13,3586.08,37150000.0,-0.25,96.32,0.15
40,2022-01-05,15100.17,1010000.0,-3.34,3595.18,42390000.0,-1.02,96.17,-0.09
41,2022-01-04,15622.72,970700.0,-1.33,3632.33,40500000.0,-0.2,96.26,0.05
42,2022-01-03,15832.8,871650.0,1.2,,,,96.21,0.26
43,2021-12-31,15644.97,729410.0,-0.61,3639.78,32970000.0,0.57,95.97,0.0
44,2021-12-30,15741.56,768180.0,-0.16,3619.19,30780000.0,0.62,95.97,0.04
