"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","0.075","0.075","0.080","0.075","1.08M","0.00%"
"2022년 03월 03일","0.075","0.080","0.085","0.075","685.23K","-6.25%"
"2022년 03월 02일","0.080","0.085","0.085","0.080","1.69M","-5.88%"
"2022년 03월 01일","0.085","0.085","0.085","0.080","471.06K","0.00%"
"2022년 02월 28일","0.085","0.085","0.090","0.080","888.48K","-5.56%"
"2022년 02월 25일","0.090","0.085","0.090","0.085","638.01K","0.00%"
"2022년 02월 24일","0.090","0.085","0.090","0.080","2.95M","0.00%"
"2022년 02월 23일","0.090","0.095","0.100","0.090","1.67M","-5.26%"
"2022년 02월 22일","0.095","0.085","0.095","0.085","2.55M","11.76%"
"2022년 02월 18일","0.085","0.090","0.090","0.080","2.09M","-5.56%"
"2022년 02월 17일","0.090","0.095","0.095","0.090","625.96K","0.00%"
"2022년 02월 16일","0.090","0.095","0.095","0.090","319.70K","-5.26%"
"2022년 02월 15일","0.095","0.095","0.095","0.090","958.15K","5.56%"
"2022년 02월 14일","0.090","0.095","0.095","0.090","943.93K","0.00%"
"2022년 02월 11일","0.090","0.095","0.095","0.090","685.06K","-2.70%"
"2022년 02월 10일","0.093","0.095","0.095","0.090","585.46K","-2.63%"
"2022년 02월 09일","0.095","0.095","0.095","0.090","317.42K","0.00%"
"2022년 02월 08일","0.095","0.095","0.095","0.090","368.08K","0.00%"
"2022년 02월 07일","0.095","0.095","0.095","0.090","1.26M","0.00%"
"2022년 02월 04일","0.095","0.095","0.100","0.090","1.03M","0.00%"
"2022년 02월 03일","0.095","0.100","0.100","0.090","2.03M","-5.00%"
"2022년 02월 02일","0.100","0.105","0.105","0.100","2.83M","0.00%"
"2022년 02월 01일","0.100","0.100","0.100","0.095","2.17M","0.00%"
"2022년 01월 31일","0.100","0.090","0.100","0.085","3.56M","11.11%"
"2022년 01월 28일","0.090","0.085","0.090","0.085","910.66K","5.88%"
"2022년 01월 27일","0.085","0.090","0.090","0.085","1.88M","-5.56%"
"2022년 01월 26일","0.090","0.085","0.095","0.085","3.80M","0.00%"
"2022년 01월 25일","0.090","0.075","0.090","0.075","4.47M","20.00%"
"2022년 01월 24일","0.075","0.085","0.090","0.070","5.57M","-16.67%"
"2022년 01월 21일","0.090","0.095","0.100","0.085","4.76M","-10.00%"
"2022년 01월 20일","0.100","0.105","0.110","0.095","10.87M","11.11%"
"2022년 01월 19일","0.090","0.095","0.100","0.090","3.05M","-10.00%"
"2022년 01월 18일","0.100","0.105","0.105","0.090","7.44M","-4.76%"
"2022년 01월 17일","0.105","0.105","0.105","0.100","1.11M","0.00%"
"2022년 01월 14일","0.105","0.105","0.105","0.100","981.60K","0.00%"
"2022년 01월 13일","0.105","0.110","0.110","0.100","5.69M","0.00%"
"2022년 01월 12일","0.105","0.110","0.120","0.105","8.85M","0.00%"
