"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","75,531.00","75,531.00","75,531.00","75,531.00","-","0.00%"
"2022년 03월 03일","75,531.00","75,531.00","75,531.00","75,531.00","-","2.44%"
"2022년 03월 02일","73,731.00","73,731.00","73,731.00","73,731.00","-","-0.02%"
"2022년 03월 01일","73,749.00","73,749.00","73,749.00","73,749.00","-","-0.02%"
"2022년 02월 28일","73,767.00","73,767.00","73,767.00","73,767.00","-","-0.01%"
"2022년 02월 25일","73,774.00","73,774.00","73,774.00","73,774.00","-","-0.01%"
"2022년 02월 24일","73,778.00","73,778.00","73,778.00","73,778.00","-","0.97%"
"2022년 02월 23일","73,072.00","73,072.00","73,072.00","73,072.00","-","0.00%"
"2022년 02월 22일","73,072.00","73,072.00","73,072.00","73,072.00","-","0.69%"
"2022년 02월 21일","72,573.00","72,573.00","72,573.00","72,573.00","-","-0.01%"
"2022년 02월 18일","72,580.00","72,580.00","72,580.00","72,580.00","-","2.51%"
"2022년 02월 17일","70,803.00","70,803.00","70,803.00","70,803.00","-","-0.01%"
"2022년 02월 16일","70,807.00","70,807.00","70,807.00","70,807.00","-","0.00%"
"2022년 02월 15일","70,807.00","70,807.00","70,807.00","70,807.00","-","0.13%"
"2022년 02월 14일","70,717.00","70,717.00","70,717.00","70,717.00","0.01K","-0.01%"
"2022년 02월 11일","70,724.50","70,724.50","70,724.50","70,724.50","-","-0.00%"
"2022년 02월 10일","70,728.00","70,728.00","70,728.00","70,728.00","-","-0.00%"
"2022년 02월 09일","70,731.00","70,731.00","70,731.00","70,731.00","-","0.00%"
"2022년 02월 08일","70,731.00","70,731.00","70,731.00","70,731.00","-","-0.01%"
"2022년 02월 07일","70,741.00","70,741.00","70,741.00","70,741.00","-","-0.01%"
"2022년 02월 04일","70,748.00","70,748.00","70,748.00","70,748.00","-","-0.00%"
"2022년 02월 03일","70,751.00","70,751.00","70,751.00","70,751.00","-","0.00%"
"2022년 02월 02일","70,751.00","70,751.00","70,751.00","70,751.00","-","0.00%"
"2022년 02월 01일","70,751.00","70,751.00","70,751.00","70,751.00","-","-0.02%"
"2022년 01월 31일","70,764.00","70,764.00","70,764.00","70,764.00","-","-0.01%"
"2022년 01월 28일","70,768.00","70,768.00","70,768.00","70,768.00","-","-0.01%"
"2022년 01월 27일","70,772.00","70,772.00","70,772.00","70,772.00","-","-0.01%"
"2022년 01월 26일","70,776.00","70,776.00","70,776.00","70,776.00","-","-0.01%"
"2022년 01월 25일","70,780.00","70,780.00","70,780.00","70,780.00","-","-1.39%"
"2022년 01월 24일","71,780.00","71,780.00","71,780.00","71,780.00","-","0.05%"
"2022년 01월 21일","71,744.00","71,744.00","71,744.00","71,744.00","-","-0.01%"
"2022년 01월 20일","71,750.00","71,750.00","71,750.00","71,750.00","0.01K","2.13%"
"2022년 01월 19일","70,254.00","70,254.00","70,254.00","70,254.00","-","0.00%"
"2022년 01월 18일","70,254.00","70,254.00","70,254.00","70,254.00","-","0.15%"
"2022년 01월 17일","70,149.00","70,149.00","70,149.00","70,149.00","0.00K","-0.03%"
"2022년 01월 14일","70,169.00","70,169.00","70,169.00","70,169.00","-","-0.01%"
