"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 07일","18,625","18,775","18,805","18,400","1.30M","-2.56%"
"2022년 03월 06일","19,115","19,115","19,115","19,115","-","0.00%"
"2022년 03월 04일","19,115","19,330","19,380","19,035","843.98K","-1.52%"
"2022년 03월 03일","19,410","19,425","19,565","19,340","0.30K","1.07%"
"2022년 03월 02일","19,205","18,720","19,260","18,690","0.03K","2.40%"
"2022년 03월 01일","18,755","18,755","18,755","18,755","-","0.00%"
"2022년 02월 28일","18,755","18,390","18,790","18,255","1.10M","1.60%"
"2022년 02월 27일","18,460","18,460","18,460","18,460","-","0.00%"
"2022년 02월 25일","18,460","18,120","18,550","18,115","1.02M","4.09%"
"2022년 02월 24일","17,735","18,250","18,430","17,730","0.84K","-4.34%"
"2022년 02월 23일","18,540","18,580","18,660","18,390","1.03M","0.73%"
"2022년 02월 22일","18,405","18,250","18,670","18,250","0.55K","-1.37%"
"2022년 02월 21일","18,660","18,400","18,660","18,220","847.85K","-0.40%"
"2022년 02월 18일","18,735","18,235","18,800","18,235","1.09M","0.35%"
"2022년 02월 17일","18,670","18,665","19,045","18,265","1.91M","0.51%"
"2022년 02월 16일","18,575","18,415","18,575","18,345","883.99K","3.77%"
"2022년 02월 15일","17,900","18,155","18,335","17,820","989.58K","-0.91%"
"2022년 02월 14일","18,065","18,240","18,285","18,020","0.09K","-2.85%"
"2022년 02월 11일","18,595","18,530","18,860","18,425","1.30M","-1.82%"
"2022년 02월 10일","18,940","19,510","19,510","18,915","1.30M","-2.12%"
"2022년 02월 09일","19,350","19,400","19,515","19,120","1.64M","1.49%"
"2022년 02월 08일","19,065","19,165","19,700","18,905","1.51M","-0.83%"
"2022년 02월 07일","19,225","19,530","19,530","18,960","1.22M","-1.64%"
"2022년 02월 06일","19,545","19,545","19,545","19,545","-","0.00%"
"2022년 02월 04일","19,545","19,120","19,545","19,005","1.24M","1.82%"
"2022년 02월 03일","19,195","19,200","19,505","19,030","1.24M","2.10%"
"2022년 01월 28일","18,800","18,650","18,880","17,750","2.99M","-0.37%"
"2022년 01월 27일","18,870","19,995","20,030","18,785","0.23K","-5.65%"
"2022년 01월 26일","20,000","20,665","20,805","20,000","0.05K","-2.72%"
"2022년 01월 25일","20,560","21,230","21,365","20,475","1.64M","-3.43%"
"2022년 01월 24일","21,290","21,500","21,745","21,050","982.56K","-2.90%"
"2022년 01월 23일","21,925","21,925","21,925","21,925","-","0.00%"
"2022년 01월 21일","21,925","22,155","22,345","21,750","1.26M","-2.01%"
"2022년 01월 20일","22,375","21,500","22,375","21,495","0.15K","3.32%"
"2022년 01월 19일","21,655","22,065","22,110","21,540","0.01K","-2.76%"
"2022년 01월 18일","22,270","22,155","22,570","22,120","0.00K","0.52%"
"2022년 01월 17일","22,155","22,215","22,490","22,020","0.02K","-0.27%"
"2022년 01월 14일","22,215","22,235","22,380","22,080","753.71K","-1.79%"
"2022년 01월 13일","22,620","22,700","22,810","22,415","882.36K","0.89%"
"2022년 01월 12일","22,420","21,620","22,420","21,620","927.15K","4.99%"
"2022년 01월 11일","21,355","21,630","21,800","21,220","837.26K","-1.00%"
"2022년 01월 10일","21,570","22,100","22,140","21,535","0.05K","-2.88%"
"2022년 01월 07일","22,210","22,150","22,355","22,065","651.48K","0.61%"
"2022년 01월 06일","22,075","21,800","22,500","21,800","1.01M","-1.10%"
"2022년 01월 05일","22,320","22,700","22,700","22,285","0.00K","-2.15%"
"2022년 01월 04일","22,810","23,030","23,070","22,640","779.70K","0.04%"
"2022년 01월 03일","22,800","23,270","23,365","22,765","1.20M","-1.55%"
"2021년 12월 30일","23,160","23,120","23,230","22,845","654.47K","0.24%"
"2021년 12월 29일","23,105","23,090","23,220","22,955","990.68K","0.72%"
"2021년 12월 28일","22,940","22,275","22,940","22,275","1.28M","3.22%"
