"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 04일","65.80","66.26","68.74","64.33","25.83K","-1.81%"
"2022년 03월 03일","67.01","68.79","69.49","63.49","30.37K","-1.05%"
"2022년 03월 02일","67.72","70.55","70.96","55.00","68.51K","-2.90%"
"2022년 03월 01일","69.74","82.46","84.42","66.00","69.77K","-15.62%"
"2022년 02월 28일","82.65","85.70","85.71","80.48","29.24K","-5.83%"
"2022년 02월 25일","87.77","88.65","89.70","87.07","16.98K","0.64%"
"2022년 02월 24일","87.21","94.80","94.80","86.20","37.43K","-7.95%"
"2022년 02월 23일","94.74","89.82","95.54","89.64","25.68K","5.69%"
"2022년 02월 22일","89.64","89.90","90.28","88.10","17.16K","0.28%"
"2022년 02월 21일","89.39","89.07","90.95","88.02","15.50K","0.36%"
"2022년 02월 18일","89.07","86.16","89.66","86.16","19.15K","3.05%"
"2022년 02월 17일","86.43","89.84","90.45","85.80","27.03K","-3.73%"
"2022년 02월 16일","89.78","90.29","91.21","87.77","25.68K","-0.59%"
"2022년 02월 15일","90.31","91.55","92.75","90.31","19.19K","-1.84%"
"2022년 02월 14일","92.00","93.88","93.91","89.93","20.47K","-0.73%"
"2022년 02월 11일","92.68","90.66","93.35","88.50","19.94K","1.63%"
"2022년 02월 10일","91.19","91.45","93.42","89.29","26.27K","-0.71%"
"2022년 02월 09일","91.84","96.29","97.60","90.26","33.08K","-4.14%"
"2022년 02월 08일","95.81","97.02","98.45","95.28","24.04K","-0.50%"
"2022년 02월 07일","96.29","96.49","96.79","93.72","21.57K","-0.15%"
"2022년 02월 04일","96.43","94.94","97.50","94.50","23.56K","2.05%"
"2022년 02월 03일","94.49","93.60","94.91","93.10","18.45K","0.12%"
"2022년 02월 02일","94.38","90.11","94.61","89.60","30.87K","4.95%"
"2022년 02월 01일","89.93","89.74","89.94","87.18","20.64K","0.23%"
"2022년 01월 31일","89.72","89.50","89.90","88.10","15.58K","0.37%"
"2022년 01월 28일","89.39","89.40","90.53","88.88","16.66K","-0.01%"
"2022년 01월 27일","89.40","88.44","89.92","87.90","16.80K","0.66%"
"2022년 01월 26일","88.81","86.83","90.00","86.63","24.52K","1.61%"
"2022년 01월 25일","87.40","84.48","88.09","83.61","24.52K","4.56%"
"2022년 01월 24일","83.59","84.14","86.44","83.06","22.09K","-1.10%"
"2022년 01월 21일","84.52","85.10","85.65","83.30","17.75K","-1.39%"
"2022년 01월 20일","85.71","81.34","85.95","80.66","23.79K","4.91%"
"2022년 01월 19일","81.70","82.72","82.73","80.80","15.04K","-1.41%"
"2022년 01월 18일","82.87","80.40","82.94","79.02","17.75K","3.45%"
"2022년 01월 17일","80.11","82.70","82.70","79.88","14.01K","-2.78%"
"2022년 01월 14일","82.40","82.19","83.40","81.50","21.42K","1.35%"
"2022년 01월 13일","81.30","80.20","81.43","77.55","23.32K","0.98%"
"2022년 01월 12일","80.51","82.69","83.24","79.15","19.94K","-2.08%"
"2022년 01월 11일","82.22","81.40","84.42","80.22","19.49K","0.81%"
"2022년 01월 10일","81.56","87.00","87.00","79.86","25.69K","-4.61%"
"2022년 01월 07일","85.50","86.75","87.61","85.21","12.55K","-1.94%"
"2022년 01월 06일","87.19","87.46","87.80","85.33","12.65K","-0.92%"
"2022년 01월 05일","88.00","85.98","88.55","85.29","15.31K","2.09%"
"2022년 01월 04일","86.20","84.01","86.80","84.01","16.07K","2.85%"
"2022년 01월 03일","83.81","80.65","84.40","79.80","9.77K","3.60%"
"2021년 12월 31일","80.90","79.98","81.25","79.55","3.69K","1.06%"
"2021년 12월 30일","80.05","80.50","80.65","79.26","5.02K","-0.24%"
"2021년 12월 29일","80.24","79.13","80.87","78.11","10.44K","1.39%"
"2021년 12월 28일","79.14","76.80","79.69","76.21","4.61K","3.02%"
"2021년 12월 27일","76.82","75.87","77.12","75.05","3.63K","1.27%"
"2021년 12월 24일","75.86","74.80","76.87","74.51","2.38K","1.34%"
"2021년 12월 23일","74.86","77.01","77.75","74.25","12.99K","-3.43%"
"2021년 12월 22일","77.52","80.07","80.07","75.45","20.02K","-2.02%"
"2021년 12월 21일","79.12","80.52","82.84","78.09","16.39K","-0.90%"
"2021년 12월 20일","79.84","72.91","79.96","72.91","9.66K","8.40%"
"2021년 12월 17일","73.65","84.25","84.50","72.58","30.06K","-12.69%"
"2021년 12월 16일","84.35","81.41","85.16","80.35","28.51K","5.16%"
"2021년 12월 15일","80.21","79.75","81.55","79.42","36.93K","0.33%"
"2021년 12월 14일","79.95","81.90","83.25","78.25","34.57K","-2.26%"
"2021년 12월 13일","81.80","84.39","86.70","81.66","27.46K","-1.73%"
"2021년 12월 10일","83.24","80.39","83.89","79.80","44.97K","3.28%"
"2021년 12월 09일","80.60","89.71","90.20","79.74","56.51K","-10.04%"
"2021년 12월 08일","89.60","85.35","90.69","85.07","43.14K","4.91%"
"2021년 12월 07일","85.41","82.00","85.50","82.00","30.94K","4.61%"
"2021년 12월 06일","81.65","78.23","81.80","78.23","22.86K","3.68%"
"2021년 12월 03일","78.75","80.06","80.36","78.00","20.82K","-1.54%"
"2021년 12월 02일","79.98","76.36","79.98","76.10","35.92K","4.32%"
"2021년 12월 01일","76.67","75.60","78.43","75.23","30.61K","1.87%"
"2021년 11월 30일","75.26","73.63","75.48","73.16","26.93K","1.63%"
"2021년 11월 29일","74.05","73.66","75.76","73.66","26.05K","1.79%"
"2021년 11월 26일","72.75","74.16","74.16","70.37","32.24K","-3.00%"
"2021년 11월 25일","75.00","73.30","75.05","72.11","25.49K","2.71%"
"2021년 11월 24일","73.02","69.52","73.18","68.94","29.86K","5.32%"
"2021년 11월 23일","69.33","69.70","70.63","68.75","19.37K","-0.53%"
"2021년 11월 22일","69.70","69.91","71.20","69.25","26.70K","-0.07%"
