"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 03월 10일","17,935","18,110","18,155","17,920","918.47K","1.21%"
"2022년 03월 08일","17,720","17,820","18,070","17,640","2.42M","-2.72%"
"2022년 03월 07일","18,215","18,435","18,495","18,045","0.03K","-2.70%"
"2022년 03월 04일","18,720","18,925","18,960","18,655","1.28M","-1.84%"
"2022년 03월 03일","19,070","19,015","19,205","18,950","0.00K","1.27%"
"2022년 03월 02일","18,830","18,295","18,845","18,250","0.05K","3.09%"
"2022년 03월 01일","18,265","18,265","18,265","18,265","-","0.00%"
"2022년 02월 28일","18,265","17,930","18,355","17,820","1.91M","0.88%"
"2022년 02월 27일","18,105","18,105","18,105","18,105","-","0.00%"
"2022년 02월 25일","18,105","17,800","18,140","17,765","2.71M","3.99%"
"2022년 02월 24일","17,410","17,955","18,050","17,370","2.70M","-4.52%"
"2022년 02월 23일","18,235","18,230","18,290","18,070","1.09M","0.75%"
"2022년 02월 22일","18,100","18,045","18,375","18,010","1.98M","-1.92%"
"2022년 02월 21일","18,455","18,220","18,455","18,025","0.00K","-0.43%"
"2022년 02월 18일","18,535","18,190","18,610","18,170","1.52M","-0.03%"
"2022년 02월 17일","18,540","18,330","18,780","18,150","0.00K","1.26%"
"2022년 02월 16일","18,310","18,240","18,370","18,160","1.40M","3.10%"
"2022년 02월 15일","17,760","17,925","18,155","17,685","1.39M","-0.92%"
"2022년 02월 14일","17,925","18,040","18,060","17,830","0.01K","-2.50%"
"2022년 02월 11일","18,385","18,275","18,660","18,225","2.07M","-1.82%"
"2022년 02월 10일","18,725","18,855","18,920","18,650","1.67M","0.08%"
"2022년 02월 09일","18,710","18,730","18,860","18,540","1.74M","1.00%"
"2022년 02월 08일","18,525","18,835","19,175","18,375","3.17M","-1.54%"
"2022년 02월 07일","18,815","19,295","19,295","18,695","0.18K","-2.46%"
"2022년 02월 06일","19,290","19,290","19,290","19,290","-","0.00%"
"2022년 02월 04일","19,290","18,940","19,300","18,845","2.59M","1.53%"
"2022년 02월 03일","19,000","18,930","19,310","18,830","2.10M","2.45%"
