,조사일,브랜드,생필품,식품,축산물
0,2019-7,CU,6771.875,3528.4057971014495,
1,2019-7,GS25,850.0,3468.181818181818,9300.0
2,2019-7,GS수퍼마켓,8010.168681318682,4676.504365034277,8671.804221995233
3,2019-7,농협,9072.19451371571,3867.8369601606964,5915.573770491803
4,2019-7,롯데마트,8316.893370521348,4051.1529299975164,7319.054630593132
5,2019-7,롯데백화점,8574.411764705883,4886.994134897361,8883.2
6,2019-7,롯데슈퍼,9054.522069813012,4323.830399096015,6465.632197278121
7,2019-7,신세계백화점,9415.34351145038,4117.026178010471,10420.425531914894
8,2019-7,이마트,8764.309600265751,4405.603882638429,8129.339250493097
9,2019-7,현대백화점,9097.402361489554,4482.293581081081,6775.306122448979
10,2019-7,홈플러스,,1681.83125,4668.148148148148
