,상품명,가격
1,[머거본] 견과류 꿀땅콩 135g x12캔,"27,900"
2,HBAF 허니버터 아몬드 210G (봉),"7,480"
3,[CJ직배송] 백설 면비빔용소스890G+제일제면소소면 900g X2개,"12,980"
4,오뚜기 옛날국수 소면 900g 3개 ,"13,500"
5,[CJ직배송]비비고 왕교자 1.05KG X 3개,"29,940"
6,오뚜기 옛날 자른 당면 300G,"3,980"
7,씨제이 행복한콩 국산콩 부침찌개 두부기획 300G*2,"5,280"
8,삼양 불닭볶음면 140G*5입,"4,680"
9,농심 신라면 120G*5입,"3,680"
10,오뚜기 진라면순한맛 120G*5입,"3,100"
11,오뚜기 부침가루 1KG,"2,950"
12,농심 보노 콘스프  18.6G*3,"2,280"
13,농심 보노 포르치니버섯스프 17.2G*3,"2,280"
14,오뚜기 크림스프 80G,"1,590"
15,농심 켈로그 콘푸로스트 600G,"6,590"
16,포스트 콘푸라이트 600g+코코볼 570g+사은품,"12,300"
17,오뚜기 간편미역국(즉석국) [(9.5gx5) x 10개](1박스),"29,900"
18,숙취해소/해장세트 큐원 상쾌환+오뚜기 간편북어국 x 5개입,"20,900"
19,오뚜기 3분 쇠고기 짜장 200G,"1,180"
20,오뚜기 3분 쇠고기 카레 200G,"1,180"
21,오뚜기 맛있는 오뚜기밥 210G*24입,"21,490"
22,오뚜기컵밥 춘천닭갈비3+오삼불고기3+황태콩나물국밥3+꿀스틱1개 (유통기한임박할인),"14,900"
23,오뚜기 컵밥 진짬뽕밥 6개,"19,800"
24,CJ 햇반 실속 210G*12,"12,980"
25,CJ 큰공기 햇반 300G*3,"7,980"
26,[CJ직배송] 햇반210g(3번들) X 6개,"29,880"
27,동원 양반죽 쇠고기죽287.5g 3개+야채죽287.5g 3개+전복죽287.5g 3개,"20,900"
28,동원 양반죽 쇠고기죽287.5g 3개+야채죽287.5g 3개+전복죽287.5g 3개,"20,900"
29,CJ 비비고 소고기죽 280G,"2,990"
30,CJ 비비고 전복죽 280G,"2,990"
31,농심 신라면 큰사발 114G,"1,030"
32,오뚜기 참깨 라면 큰컵 110G,"1,050"
33,팔도 왕뚜껑 110G,"1,000"
34,오뚜기 맛있는컵밥 제육덮밥 310G,"3,980"
35,CJ 햇반 컵반 미역국밥 167G,"3,990"
36,CJ 비비고 사골 곰탕 500G,"1,990"
37,오뚜기 옛날 사골곰탕 350g 8개+설렁탕 300g 6개+육개장 300g 6개,"23,900"
38,오리온 포카칩 오리지날 66G,"1,180"
39,농심 포테토칩오리지널대 125G,"2,300"
40,해태 아이비 크래커 270G,"3,590"
41,크라운 참크래커 280G,"3,480"
42,롯데푸드 돼지바 멀티 70ML*6,"3,600"
43,빙그레 메로나 멀티 75ML*8,"4,300"
44,농심 새우깡 90G,"1,020"
45,[롯데제과] 월드콘 바닐라160ml X12개+초코160ml X12개,"20,900"
46,오리온 닥터유에너지바(40g/15EA/갑)_N7144001,"18,900"
47,오리온 닥터유 에너지바 호두 4P 160G,"3,990"
48,농심켈로그 레드베리 에너지바 4P 100G,"4,090"
49,(1704370) 자유시간 아몬드 36gx24개,"20,600"
50,오리온 핫브레이크 미니 714G,"11,490"
51,롯데 몽쉘 크림케이크 384G,"4,790"
52,사조 살코기참치 150g 3개+고추참치 150g 3개+마일드참치 150g 3개+물티슈 ,"16,500"
53,오뚜기 마일드참치 100g 3입,"9,300"
